segmentnr	original	stemmed
ZH_T85_2917B_001:1462b12_0	新菩薩經	新 菩 薩 經 
ZH_T85_2917B_001:1462b14_0	率□□□□□□□大小念百萬口。阿彌陀	率        大 小 念 百 萬 口  阿 彌 陀 
ZH_T85_2917B_001:1462b15_0	佛五百身中不入□□菩薩說今󱭚八𠥱九𠥱	佛 五 百 身 中 不 入   菩 薩 說 今  八 𠥱 九 𠥱 
ZH_T85_2917B_001:1462b16_14	太山崩須九萬億□亦須九千億牛。	太 山 崩 須 九 萬 億  亦 須 九 千 億 牛  
ZH_T85_2917B_001:1462b17_1	第一患死。	第 一 患 死  
ZH_T85_2917B_001:1462b17_6	第二卒死。	第 二 卒 死  
ZH_T85_2917B_001:1462b17_12	第三產坐死。	第 三 產 坐 死  
ZH_T85_2917B_001:1462b17_19	第四不持齋死。	第 四 不 持 齋 死  
ZH_T85_2917B_001:1462b18_5	第五腸肚熱死。	第 五 腸 肚 熱 死  
ZH_T85_2917B_001:1462b18_11	第六自絞死。	第 六 自 絞 死  
ZH_T85_2917B_001:1462b19_4	今󱭚禾荳熟恐無𤯔無收度。	今  禾 荳 熟 恐 無 𤯔 無 收 度  
ZH_T85_2917B_001:1462b19_16	今󱭚即好信者寫一通免身。	今  即 好 信 者 寫 一 通 免 身  
ZH_T85_2917B_001:1462b20_4	寫二通免合家。	寫 二 通 免 合 家  
ZH_T85_2917B_001:1462b20_11	寫三通免一村。	寫 三 通 免 一 村  
ZH_T85_2917B_001:1462b20_19	若聞不寫即滅門。	若 聞 不 寫 即 滅 門  
ZH_T85_2917B_001:1462b21_7	若有轉讀此經者。	若 有 轉 讀 此 經 者  
ZH_T85_2917B_001:1462b21_12	皆度苦難。	皆 度 苦 難  
ZH_T85_2917B_001:1462b21_18	不信即身滅。	不 信 即 身 滅  
ZH_T85_2917B_001:1462b22_6	經從西涼州縣來。	經 從 西 涼 州 縣 來  
ZH_T85_2917B_001:1462b22_13	在彼城東門口。	在 彼 城 東 門 口  
ZH_T85_2917B_001:1462b23_5	四𠥱雷鳴雨下一石如斗。	四 𠥱 雷 鳴 雨 下 一 石 如 斗  
ZH_T85_2917B_001:1462b23_13	破兩片遂見此經。	破 兩 片 遂 見 此 經  
ZH_T85_2917B_001:1462b24_3	轉示眾生得福無量。	轉 示 眾 生 得 福 無 量  
ZH_T85_2917B_001:1462b25_100	長安四󱭚五𠥱十五日	長 安 四  五 𠥱 十 五 日 
