segmentnr	original	stemmed
ZH_T46_1911_03b:0028b10_0	隋天台智者大師說	隋 天 台 智 者 大 師 說 
ZH_T46_1911_03b:0028b11_0	門人灌頂記	門 人 灌 頂 記 
ZH_T46_1911_03b:0028b12_0	次圓教但明一實諦。大經云。實是一諦方	次 圓 教 但 明 一 實 諦  大 經 云  實 是 一 諦 方 
ZH_T46_1911_03b:0028b13_3	便說三。	便 說 三  
ZH_T46_1911_03b:0028b13_8	今亦例此。	今 亦 例 此  
ZH_T46_1911_03b:0028b13_17	實是一諦方便說三。	實 是 一 諦 方 便 說 三  
ZH_T46_1911_03b:0028b14_3	法華云。	法 華 云  
ZH_T46_1911_03b:0028b14_15	更以異方便助顯第一義耳。	更 以 異 方 便 助 顯 第 一 義 耳  
ZH_T46_1911_03b:0028b15_13	是為圓教二諦三諦一諦離合之相也。	是 為 圓 教 二 諦 三 諦 一 諦 離 合 之 相 也  
ZH_T46_1911_03b:0028b16_3	次明四諦離合者。	次 明 四 諦 離 合 者  
ZH_T46_1911_03b:0028b16_14	前三諦二諦一諦皆豎辯。	前 三 諦 二 諦 一 諦 皆 豎 辯  
ZH_T46_1911_03b:0028b17_1	四諦則橫論。	四 諦 則 橫 論  
ZH_T46_1911_03b:0028b17_8	則有四種四諦。	則 有 四 種 四 諦  
ZH_T46_1911_03b:0028b18_1	謂生滅無生滅無量無作等。	謂 生 滅 無 生 滅 無 量 無 作 等  
ZH_T46_1911_03b:0028b18_15	生滅四諦即是橫開三藏二諦也。	生 滅 四 諦 即 是 橫 開 三 藏 二 諦 也  
ZH_T46_1911_03b:0028b19_11	無生四諦即是橫開通教二諦也。	無 生 四 諦 即 是 橫 開 通 教 二 諦 也  
ZH_T46_1911_03b:0028b20_7	無量四諦即是橫開別教二諦也。	無 量 四 諦 即 是 橫 開 別 教 二 諦 也  
ZH_T46_1911_03b:0028b21_4	無作四諦即是橫開圓教一實諦也。	無 作 四 諦 即 是 橫 開 圓 教 一 實 諦 也  
ZH_T46_1911_03b:0028b21_10	今將中觀論。	今 將 中 觀 論  
ZH_T46_1911_03b:0028b21_17	合此四番四諦。	合 此 四 番 四 諦  
ZH_T46_1911_03b:0028b22_7	論云因緣所生法者。	論 云 因緣所生 法 者  
ZH_T46_1911_03b:0028b22_14	即生滅四諦也。	即 生 滅 四 諦 也  
ZH_T46_1911_03b:0028b23_1	我說即是空。	我 說 即 是 空  
ZH_T46_1911_03b:0028b23_8	即無生四諦也。	即 無 生 四 諦 也  
ZH_T46_1911_03b:0028b23_14	亦為是假名。	亦 為 是 假 名  
ZH_T46_1911_03b:0028b24_1	即無量四諦也。	即 無 量 四 諦 也  
ZH_T46_1911_03b:0028b24_7	亦名中道義。	亦 名 中 道 義  
ZH_T46_1911_03b:0028b24_14	即無作四諦也。	即 無 作 四 諦 也  
ZH_T46_1911_03b:0028b25_1	二明智離合者。	二 明 智 離 合 者  
ZH_T46_1911_03b:0028b25_4	諸經。	諸 經  
ZH_T46_1911_03b:0028b25_18	或說一智二三四乃至十一智等。	或 說 一 智 二 三 四 乃 至 十 一 智 等  
ZH_T46_1911_03b:0028b26_8	若說三智可用觀三諦。	若 說 三 智 可 用 觀 三 諦  
ZH_T46_1911_03b:0028b26_17	如其增減當云何觀。	如 其 增 減 當 云 何 觀  
ZH_T46_1911_03b:0028b27_3	一智者。	一 智 者  
ZH_T46_1911_03b:0028b27_6	經云。	經 云  
ZH_T46_1911_03b:0028b27_17	一切諸如來同共一法身。	一切諸如來 同 共 一 法 身  
ZH_T46_1911_03b:0028b28_3	一心一智慧。	一 心 一 智 慧  
ZH_T46_1911_03b:0028b28_9	力無畏亦然。	力 無 畏 亦 然  
ZH_T46_1911_03b:0028b28_19	唯一佛智即一切種智。	唯 一 佛 智 即 一切種智  
ZH_T46_1911_03b:0028b29_13	一相寂滅相種種行類相貌皆知。	一 相 寂 滅 相 種 種 行 類 相 貌 皆 知  
ZH_T46_1911_03b:0028c01_1	名一切種智。	名 一切種智  
ZH_T46_1911_03b:0028c01_8	此智觀三諦者。	此 智 觀 三 諦 者  
ZH_T46_1911_03b:0028c01_16	若言一相寂滅相。	若 言 一 相 寂 滅 相  
ZH_T46_1911_03b:0028c02_4	即是觀於中道。	即 是 觀 於 中 道  
ZH_T46_1911_03b:0028c02_16	若言種種行類相貌皆知者。	若 言 種 種 行 類 相 貌 皆 知 者  
ZH_T46_1911_03b:0028c03_6	即是雙照二諦也。	即 是 雙 照 二 諦 也  
ZH_T46_1911_03b:0028c03_15	若二智者所謂權實。	若 二 智 者 所 謂 權 實  
ZH_T46_1911_03b:0028c04_5	權即一切智道種智。	權 即 一 切 智 道 種 智  
ZH_T46_1911_03b:0028c04_13	觀於有無兩諦也。	觀 於 有 無 兩 諦 也  
ZH_T46_1911_03b:0028c05_7	實即一切種智觀於中道諦也。	實 即 一切種智 觀 於 中 道 諦 也  
ZH_T46_1911_03b:0028c05_17	三智觀三諦可解不說。	三 智 觀 三 諦 可 解 不 說  
ZH_T46_1911_03b:0028c06_3	四智者。	四 智 者  
ZH_T46_1911_03b:0028c07_2	如大品明道慧道種慧一切智一切種智。	如 大 品 明 道 慧 道 種 慧 一 切 智 一切種智  
ZH_T46_1911_03b:0028c07_10	釋論解此有多種。	釋 論 解 此 有 多 種  
ZH_T46_1911_03b:0028c07_18	或因中但有理體。	或 因 中 但 有 理 體  
ZH_T46_1911_03b:0028c08_7	名為道慧道種慧。	名 為 道 慧 道 種 慧  
ZH_T46_1911_03b:0028c08_14	果上事理皆滿。	果 上 事 理 皆 滿  
ZH_T46_1911_03b:0028c09_4	名一切智一切種智。	名 一 切 智 一切種智  
ZH_T46_1911_03b:0028c09_7	或言。	或 言  
ZH_T46_1911_03b:0028c09_19	因中權實故言道慧道種慧。	因 中 權 實 故 言 道 慧 道 種 慧  
ZH_T46_1911_03b:0028c10_10	入空為實慧入假為權慧。	入 空 為 實 慧 入 假 為 權 慧  
ZH_T46_1911_03b:0028c10_13	或言。	或 言  
ZH_T46_1911_03b:0028c11_9	果上權實故言一切智一切種智。	果 上 權 實 故 言 一 切 智 一切種智  
ZH_T46_1911_03b:0028c12_1	直緣中道名一切智。	直 緣 中 道 名 一 切 智  
ZH_T46_1911_03b:0028c12_11	雙照二諦名一切種智。	雙 照 二 諦 名 一切種智  
ZH_T46_1911_03b:0028c12_14	或言。	或 言  
ZH_T46_1911_03b:0028c13_4	因中總別果上總別。	因 中 總 別 果 上 總 別  
ZH_T46_1911_03b:0028c13_7	或言。	或 言  
ZH_T46_1911_03b:0028c13_18	道慧道種慧是單明權實。	道 慧 道 種 慧 是 單 明 權 實  
ZH_T46_1911_03b:0028c14_11	一切智一切種智是複明權實。	一 切 智 一切種智 是 複 明 權 實  
ZH_T46_1911_03b:0028c15_2	如是等種種釋四智。	如 是 等 種 種 釋 四 智  
ZH_T46_1911_03b:0028c15_11	四智秖是照三諦也。	四 智 秖 是 照 三 諦 也  
ZH_T46_1911_03b:0028c16_10	若經中有明五諦六七八九乃至無量者。	若 經 中 有 明 五 諦 六 七 八 九 乃 至 無 量 者  
ZH_T46_1911_03b:0028c17_5	但得此意釋之使入三諦也。	但 得 此 意 釋 之 使 入 三 諦 也  
ZH_T46_1911_03b:0028c17_10	十一智者。	十 一 智 者  
ZH_T46_1911_03b:0028c18_3	世智他心智兩種照俗諦。	世 智 他 心 智 兩 種 照 俗 諦  
ZH_T46_1911_03b:0028c18_9	八智觀真諦。	八 智 觀 真 諦  
ZH_T46_1911_03b:0028c18_16	如實智觀中道。	如 實 智 觀 中 道  
ZH_T46_1911_03b:0028c19_9	是名智有離合而三諦不動。	是 名 智 有 離 合 而 三 諦 不 動  
ZH_T46_1911_03b:0028c19_17	復次智諦俱開者。	復 次 智 諦 俱 開 者  
ZH_T46_1911_03b:0028c20_7	隨其多少自相攝。	隨 其 多 少 自 相 攝  
ZH_T46_1911_03b:0028c20_15	如三諦即有三智。	如 三 諦 即 有 三 智  
ZH_T46_1911_03b:0028c21_4	二諦即有二智。	二 諦 即 有 二 智  
ZH_T46_1911_03b:0028c21_9	此義可解。	此 義 可 解  
ZH_T46_1911_03b:0028c21_17	又智諦俱不開者。	又 智 諦 俱 不 開 者  
ZH_T46_1911_03b:0028c22_9	且據一諦一智不增不減。	且 據 一 諦 一 智 不增不減  
ZH_T46_1911_03b:0028c22_14	此亦可解。	此 亦 可 解  
ZH_T46_1911_03b:0028c23_12	若智雖開合終是實智能顯實體也。	若 智 雖 開 合 終 是 實 智 能 顯 實 體 也  
ZH_T46_1911_03b:0028c24_3	次約諦智合辯者。	次 約 諦 智 合 辯 者  
ZH_T46_1911_03b:0028c24_13	三藏真諦發一眼一智。	三 藏 真 諦 發 一 眼 一 智  
ZH_T46_1911_03b:0028c25_2	俗諦發一眼一智。	俗 諦 發 一 眼 一 智  
ZH_T46_1911_03b:0028c25_11	兩諦共發一眼一智。	兩 諦 共 發 一 眼 一 智  
ZH_T46_1911_03b:0028c26_1	慧眼一切智緣真諦。	慧 眼 一 切 智 緣 真 諦  
ZH_T46_1911_03b:0028c26_10	法眼道種智緣俗諦。	法 眼 道 種 智 緣 俗 諦  
ZH_T46_1911_03b:0028c27_4	佛眼一切種智共緣真俗兩諦。	佛 眼 一切種智 共 緣 真 俗 兩 諦  
ZH_T46_1911_03b:0028c28_1	不得道雙照秖得道前後共照耳。	不 得 道 雙 照 秖 得 道 前 後 共 照 耳  
