segmentnr	original	stemmed
ZH_T07_0220d_559:0883b06_0	大般若波羅蜜多經卷第五百五	大 般 若 波羅蜜多 經 卷 第 五 百 五 
ZH_T07_0220d_559:0883b07_0	十九	十 九 
ZH_T07_0220d_559:0883b09_0	三藏法師玄奘奉　詔譯	三藏法師 玄 奘 奉  詔 譯 
ZH_T07_0220d_559:0883b11_9	8 地獄品第五分地獄品第八時，舍利子便白佛言：	8   地 獄 品 第 五 分 地 獄 品 第 八 時  舍 利 子 便 白 佛 言  
ZH_T07_0220d_559:0883b12_11	「如是無倒隨喜迴向，皆由般若波羅蜜多威力成辦。	 如 是 無 倒 隨 喜 迴 向  皆 由 般 若 波羅蜜多 威 力 成 辦  
ZH_T07_0220d_559:0883b13_2	」爾時，佛告舍利子言：	 爾 時  佛 告 舍 利 子 言  
ZH_T07_0220d_559:0883b13_6	「如是！	 如 是  
ZH_T07_0220d_559:0883b13_9	如是！	如 是  
ZH_T07_0220d_559:0883b13_20	」時，舍利子復白佛言：	 時  舍 利 子 復 白 佛 言  
ZH_T07_0220d_559:0883b21_6	「如是般若波羅蜜多能作照明皆應敬禮，世間諸法不能染污，能除翳闇能發光明，能施利安能為導首，與諸盲者作淨眼目，與涉闇徒作明燈炬，引失道者令入正路，顯諸法性即薩婆若，示一切法無滅無生，是諸菩薩摩訶薩母，能令諸佛具轉三轉、十二行相無上法輪，無依護者為作依護，能除一切生死苦惱，開示諸法無性為性。	 如 是 般 若 波羅蜜多 能 作 照 明 皆 應 敬 禮  世 間 諸 法 不 能 染 污  能 除 翳 闇 能發光明  能 施 利 安 能 為 導 首  與 諸 盲 者 作 淨 眼 目  與 涉 闇 徒 作 明 燈 炬  引 失 道 者 令 入 正 路  顯 諸 法 性 即 薩 婆 若  示 一 切 法 無 滅 無 生  是 諸 菩薩摩訶薩 母  能 令 諸 佛 具 轉 三 轉  十 二 行 相 無上法輪  無 依 護 者 為 作 依 護  能 除 一 切 生 死 苦 惱  開 示 諸 法 無 性 為 性  
ZH_T07_0220d_559:0883b21_9	世尊！	世 尊  
ZH_T07_0220d_559:0883b22_9	諸菩薩摩訶薩於深般若波羅蜜多應云何住？	諸 菩薩摩訶薩 於 深 般 若 波羅蜜多 應 云 何 住  
ZH_T07_0220d_559:0883b22_16	」佛告舍利子：	 佛 告 舍 利 子  
ZH_T07_0220d_559:0883b24_14	「諸菩薩摩訶薩於深般若波羅蜜多應如佛住，敬事般若波羅蜜多應如敬事諸佛世尊。	 諸 菩薩摩訶薩 於 深 般 若 波羅蜜多 應 如 佛 住  敬 事 般 若 波羅蜜多 應 如 敬 事 諸佛世尊  
ZH_T07_0220d_559:0883b25_5	」時，天帝釋作是念言：	 時  天 帝 釋 作是念言  
ZH_T07_0220d_559:0883b25_19	「今舍利子何因何緣問佛斯事？	 今 舍 利 子 何因何緣 問 佛 斯 事  
ZH_T07_0220d_559:0883b26_8	」念已便問舍利子言：	 念 已 便 問 舍 利 子 言  
ZH_T07_0220d_559:0883b26_18	「以何因緣而作是問？	 以何因緣 而 作 是 問  
ZH_T07_0220d_559:0883b27_7	」時，舍利子報帝釋言：	 時  舍 利 子 報 帝 釋 言  
ZH_T07_0220d_559:0883c02_11	「前佛世尊說諸菩薩甚深般若波羅蜜多所攝受故，所起隨喜迴向俱行諸福業事，疾能證得一切智智，勝有所得菩薩所修布施、淨戒、安忍、精進、靜慮、般若相應善根，是故我今作如是問。	 前 佛世尊說 諸 菩 薩 甚 深 般 若 波羅蜜多 所 攝 受 故  所 起 隨 喜 迴 向 俱 行 諸 福 業 事  疾 能 證 得 一切智智  勝 有 所 得 菩 薩 所 修 布 施  淨 戒  安 忍  精 進  靜 慮  般 若 相 應 善 根  是 故 我 今 作 如 是 問  
ZH_T07_0220d_559:0883c02_16	「憍尸迦！	 憍 尸 迦  
ZH_T07_0220d_559:0883c04_12	如生盲眾若百若千，無淨眼者方便引導，近尚不能趣入正道，況能遠達豐樂大城！	如 生 盲 眾 若 百 若 千  無 淨 眼 者 方 便 引 導  近 尚 不 能 趣 入 正 道  況 能 遠 達 豐 樂 大 城  
ZH_T07_0220d_559:0883c06_19	如是前五波羅蜜多諸生盲眾，若無般若波羅蜜多淨眼者導，尚不能趣菩薩正道，況能證入一切智城！	如 是 前 五波羅蜜 多 諸 生 盲 眾  若 無 般 若 波羅蜜多 淨 眼 者 導  尚 不 能 趣 菩 薩 正 道  況 能 證 入 一 切 智 城  
ZH_T07_0220d_559:0883c07_3	憍尸迦！	憍 尸 迦  
ZH_T07_0220d_559:0883c08_7	布施等五波羅蜜多，要由般若波羅蜜多，名有目者。	布 施 等 五波羅蜜 多  要 由 般 若 波羅蜜多  名 有 目 者  
ZH_T07_0220d_559:0883c09_6	復由般若波羅蜜多之所攝受，名到彼岸。	復 由 般 若 波羅蜜多 之 所 攝 受  名 到 彼 岸  
ZH_T07_0220d_559:0883c09_17	」時，舍利子復白佛言：	 時  舍 利 子 復 白 佛 言  
ZH_T07_0220d_559:0883c10_8	「云何菩薩引發般若波羅蜜多？	 云 何 菩 薩 引 發 般 若 波羅蜜多  
ZH_T07_0220d_559:0883c10_15	」佛告舍利子：	 佛 告 舍 利 子  
ZH_T07_0220d_559:0883c12_11	「若諸菩薩不引發色、受、想、行、識，亦不見色、受、想、行、識，是即名為引發般若波羅蜜多。	 若 諸 菩 薩 不 引 發 色  受  想  行  識  亦 不 見 色  受  想  行  識  是 即 名 為 引 發 般 若 波羅蜜多  
ZH_T07_0220d_559:0883c13_2	」時，舍利子復白佛言：	 時  舍 利 子 復 白 佛 言  
ZH_T07_0220d_559:0883c14_1	「若諸菩薩引發般若波羅蜜多，為成何法？	 若 諸 菩 薩 引 發 般 若 波羅蜜多  為 成 何 法  
ZH_T07_0220d_559:0883c14_8	」佛告舍利子：	 佛 告 舍 利 子  
