segmentnr	original	stemmed
ZH_T20_1177A_010:0772c02_0	大乘瑜伽金剛性海曼殊室利千	大 乘 瑜 伽 金 剛 性 海 曼 殊 室 利 千 
ZH_T20_1177A_010:0772c03_0	臂千鉢大教王經卷第十	臂 千 鉢 大 教 王 經 卷 第 十 
ZH_T20_1177A_010:0772c05_0	大興善寺三藏沙門大廣智	大 興 善 寺 三 藏 沙 門 大 廣 智 
ZH_T20_1177A_010:0772c07_8	不空奉　詔譯爾時釋迦牟尼如來。	不 空 奉  詔 譯 爾 時 釋 迦 牟 尼 如 來  
ZH_T20_1177A_010:0772c08_1	復從摩醯首羅天王宮下。	復 從 摩 醯 首 羅 天 王 宮 下  
ZH_T20_1177A_010:0772c08_7	至南閻浮提。	至 南 閻 浮 提  
ZH_T20_1177A_010:0772c08_12	來往說法。	來 往 說 法  
ZH_T20_1177A_010:0772c09_7	在舍衛國中祇園精舍大道場會。	在 舍 衛 國 中 祇園精舍 大 道 場 會  
ZH_T20_1177A_010:0772c09_17	如來在於百寶蓮華臺。	如 來 在 於 百 寶 蓮 華 臺  
ZH_T20_1177A_010:0772c10_12	於寶座上入師子奮迅金剛三昧。	於 寶 座 上 入 師 子 奮 迅 金 剛 三 昧  
ZH_T20_1177A_010:0772c10_17	從三昧起。	從 三 昧 起  
ZH_T20_1177A_010:0772c11_14	光明遍照千百億微塵世界佛剎淨土。	光明遍照 千 百 億 微 塵 世 界 佛 剎 淨 土  
ZH_T20_1177A_010:0772c12_10	一切三世法界有頂非想非非想天。	一 切 三 世 法 界 有 頂 非想非非想 天  
ZH_T20_1177A_010:0772c15_6	一切有情大梵諸天六欲天主帝釋諸天四王大神轉輪四聖王等百億閻浮提粟散國王大臣諸軍統領宰執所守一切人民。	一切有情 大 梵 諸 天 六 欲 天 主 帝 釋 諸 天 四 王 大 神 轉 輪 四 聖 王 等 百 億 閻 浮 提 粟 散 國 王 大 臣 諸 軍 統 領 宰 執 所 守 一 切 人 民  
ZH_T20_1177A_010:0772c15_14	世尊放大慈光明。	世 尊 放 大 慈 光 明  
