segmentnr	original	stemmed
ZH_T37_1763_064:0575b02_0	2大般涅槃經集解卷第六十四	2 大 般 涅 槃 經 集 解 卷 第 六 十 四 
ZH_T37_1763_064:0575b04_0	　廣說諍論凡二十科	 廣 說 諍 論 凡 二 十 科 
ZH_T37_1763_064:0575b05_0	　第一釋於一名法說無量名一義無量名	 第 一 釋 於 一 名 法 說 無 量 名 一 義 無 量 名 
ZH_T37_1763_064:0575b16_7	無量義說無量名乃至第一義中說世諦等　不為五種人說五種法謂不為慳者讚布施等　廣釋所以語魔王云過三月當涅槃緣起　第二釋我無我諍論　第三釋有中陰無中陰　第四釋有退無退諍論　第五釋如來是有為或是無為迦葉品之第二迦葉菩薩白佛言：	無 量 義 說 無 量 名 乃 至 第 一 義 中 說 世 諦 等  不 為 五 種 人 說 五 種 法 謂 不 為 慳 者 讚 布 施 等  廣 釋 所 以 語 魔 王 云 過 三 月 當 涅 槃 緣 起  第 二 釋 我 無 我 諍 論  第 三 釋 有 中 陰 無 中 陰  第 四 釋 有 退 無 退 諍 論  第 五 釋 如 來 是 有 為 或 是 無 為 迦 葉 品 之 第 二 迦 葉 菩 薩 白 佛 言  
ZH_T37_1763_064:0575b16_19	世尊至亦知未來眾生諸根。	世 尊 至 亦 知 未 來 眾 生 諸 根  
ZH_T37_1763_064:0575b17_4	案僧亮曰：	案 僧 亮 曰  
ZH_T37_1763_064:0575b17_11	第三諍論分也。	第 三 諍 論 分 也  
ZH_T37_1763_064:0575b18_6	上云具四德則進，不具則退。	上 云 具 四 德 則 進  不 具 則 退  
ZH_T37_1763_064:0575b19_1	而善友不過於佛，正法不過佛說。	而 善 友 不 過 於 佛  正 法 不 過 佛 說  
ZH_T37_1763_064:0575b20_7	如使後人於佛所說起諍論者，則不得善思，故不如法行。	如 使 後 人 於 佛 所 說 起 諍 論 者  則 不 得 善 思  故 不 如 法 行  
ZH_T37_1763_064:0575b21_15	四德所以不具，皆由佛說不定，如似如來說不應機，故發問也。	四 德 所 以 不 具  皆 由 佛 說 不 定  如 似 如 來 說 不 應 機  故 發 問 也  
ZH_T37_1763_064:0575b21_19	僧宗曰：	僧 宗 曰  
ZH_T37_1763_064:0575b22_7	第五，廣明諍論也。	第 五  廣 明 諍 論 也  
ZH_T37_1763_064:0575b22_11	有三翻：	有 三 翻  
ZH_T37_1763_064:0575b23_16	第一出諍論以咎佛，第二如來廣釋以遣著，第三釋諍論也。	第 一 出 諍 論 以 咎 佛  第 二 如 來 廣 釋 以 遣 著  第 三 釋 諍 論 也  
ZH_T37_1763_064:0575b24_13	此下第一，列二十一諍論以咎佛也。	此 下 第 一  列 二 十 一 諍 論 以 咎 佛 也  
ZH_T37_1763_064:0575b24_17	寶亮曰：	寶 亮 曰  
ZH_T37_1763_064:0575b26_16	將欲解釋諍論，故逆作難云，佛既知眾生三世諸根利鈍差別，何不定說，乃使物諍耶？	將 欲 解 釋 諍 論  故 逆 作 難 云  佛 既 知 眾 生 三 世 諸 根 利 鈍 差 別  何 不 定 說  乃 使 物 諍 耶  
ZH_T37_1763_064:0575b26_20	智秀曰：	智 秀 曰  
ZH_T37_1763_064:0575b28_6	辨諍論中唯有問答兩翻，前迦葉以諍論為難，後佛釋也。	辨 諍 論 中 唯 有 問 答 兩 翻  前 迦 葉 以 諍 論 為 難  後 佛 釋 也  
ZH_T37_1763_064:0575b29_17	如是眾生於佛滅後至何故今日不決定說。	如 是 眾 生 於 佛 滅 後 至 何 故 今 日 不 決 定 說  
ZH_T37_1763_064:0575c01_4	案寶亮曰：	案 寶 亮 曰  
ZH_T37_1763_064:0575c02_1	凡列二十對四十家諍，請佛釋也。	凡 列 二 十 對 四 十 家 諍  請 佛 釋 也  
ZH_T37_1763_064:0575c02_6	道慧記曰：	道 慧 記 曰  
ZH_T37_1763_064:0575c03_18	迦葉發問凡有四十諍論，兩兩相對合為二十，就章門之中乃有四十二也。	迦 葉 發 問 凡 有 四 十 諍 論  兩 兩 相 對 合 為 二 十  就 章 門 之 中 乃 有 四 十 二 也  
ZH_T37_1763_064:0575c04_11	合章門中，第十九兩句言：	合 章 門 中  第 十 九 兩 句 言  
ZH_T37_1763_064:0575c05_6	或說佛性，即眾生有、離眾生有。	或 說 佛 性  即 眾 生 有  離 眾 生 有  
ZH_T37_1763_064:0575c06_4	或說四重五逆闡提，皆有佛性、或說言無。	或 說 四 重 五 逆 闡 提  皆 有 佛 性  或 說 言 無  
ZH_T37_1763_064:0575c06_16	合此二句，所以為四十也。	合 此 二 句  所 以 為 四 十 也  
ZH_T37_1763_064:0575c07_4	佛告迦葉：	佛 告 迦 葉  
ZH_T37_1763_064:0575c07_8	善男子！	善 男 子  
ZH_T37_1763_064:0575c08_2	如是之義至乃是智慧之所能知。	如 是 之 義 至 乃 是 智 慧 之 所 能 知  
ZH_T37_1763_064:0575c08_7	案僧亮曰：	案 僧 亮 曰  
ZH_T37_1763_064:0575c09_12	佛所說義有權有實，識性是著，不達二義，偏執起諍；	佛 所 說 義 有 權 有 實  識 性 是 著  不 達 二 義  偏 執 起 諍  
ZH_T37_1763_064:0575c10_2	智能了達，不執不諍也。	智 能 了 達  不 執 不 諍 也  
ZH_T37_1763_064:0575c11_17	若有智者我於是人至亦復謂我作不定說。	若 有 智 者 我 於 是 人 至 亦 復 謂 我 作 不 定 說  
ZH_T37_1763_064:0575c12_4	案僧亮曰：	案 僧 亮 曰  
ZH_T37_1763_064:0575c13_3	智者見法，法理無二，謂佛說實不說權也。	智 者 見 法  法 理 無 二  謂 佛 說 實 不 說 權 也  
ZH_T37_1763_064:0575c14_6	無智不見法故，佛說權道，謂道有權實，說不定也。	無 智 不 見 法 故  佛 說 權 道  謂 道 有 權 實  說 不 定 也  
ZH_T37_1763_064:0575c15_11	謂我作不定說者，自不見法，謂佛說有二，所以起諍論也。	謂 我 作 不 定 說 者  自 不 見 法  謂 佛 說 有 二  所 以 起 諍 論 也  
ZH_T37_1763_064:0575c15_15	僧宗曰：	僧 宗 曰  
ZH_T37_1763_064:0575c16_4	第二釋著言之惑也。	第 二 釋 著 言 之 惑 也  
ZH_T37_1763_064:0575c16_18	隨方釋化，豈是凡夫六識所知？	隨 方 釋 化  豈 是 凡 夫 六 識 所 知  
ZH_T37_1763_064:0575c17_12	是以不解此意，故生此諍論耳。	是 以 不 解 此 意  故 生 此 諍 論 耳  
ZH_T37_1763_064:0575c19_2	智者理歸一致，及其化物方便故也，說本跡不相違，故言不二也；	智 者 理 歸 一 致  及 其 化 物 方 便 故 也  說 本 跡 不 相 違  故 言 不 二 也  
ZH_T37_1763_064:0575c19_15	於愚者不解偏執，謂呼二也。	於 愚 者 不 解 偏 執  謂 呼 二 也  
ZH_T37_1763_064:0575c19_19	寶亮曰：	寶 亮 曰  
ZH_T37_1763_064:0575c21_10	將欲釋難，且一往總解云如是之義非六識所知，乃是智者所達也。	將 欲 釋 難  且 一 往 總 解 云 如 是 之 義 非 六 識 所 知  乃 是 智 者 所 達 也  
ZH_T37_1763_064:0575c22_9	眾生根性不等，須法藥不同，何得定說耶？	眾 生 根 性 不 等  須 法 藥 不 同  何 得 定 說 耶  
ZH_T37_1763_064:0575c23_13	是故一家恒勸行者，若體解此諸諍論，名通達佛法也。	是 故 一 家 恒 勸 行 者  若 體 解 此 諸 諍 論  名 通 達 佛 法 也  
ZH_T37_1763_064:0575c24_10	佛所說法，本一時之益，生後解之資。	佛 所 說 法  本 一 時 之 益  生 後 解 之 資  
ZH_T37_1763_064:0575c25_1	應縱容取旨，豈得偏執？	應 縱 容 取 旨  豈 得 偏 執  
ZH_T37_1763_064:0575c25_16	但學者自乖於理，豈是佛之過耶？	但 學 者 自 乖 於 理  豈 是 佛 之 過 耶  
ZH_T37_1763_064:0575c26_3	善男子！	善 男 子  
