segmentnr	original	stemmed
ZH_T07_0220e_568:0931a24_0	2大般若波羅蜜多經卷第五百六	2 大 般 若 波羅蜜多 經 卷 第 五 百 六 
ZH_T07_0220e_568:0931a25_0	十八	十 八 
ZH_T07_0220e_568:0931a27_0	三藏法師玄奘奉　詔譯	三藏法師 玄 奘 奉  詔 譯 
ZH_T07_0220e_568:0931a29_9	第六分法界品第四之二爾時，最勝復白佛言：	第 六 分 法 界 品 第 四 之 二 爾 時  最 勝 復 白 佛 言  
ZH_T07_0220e_568:0931a29_13	「世尊！	 世 尊  
ZH_T07_0220e_568:0931b01_18	云何諸菩薩摩訶薩行深般若波羅蜜多，為度有情示現諸相？	云 何 諸 菩薩摩訶薩 行 深 般 若 波羅蜜多  為 度 有 情 示 現 諸 相  
ZH_T07_0220e_568:0931b02_4	」佛告最勝：	 佛 告 最 勝  
ZH_T07_0220e_568:0931b02_10	「天王當知！	 天 王 當 知  
ZH_T07_0220e_568:0931b05_1	甚深般若波羅蜜多相不可得，諸菩薩相亦不可得，但由方便善巧威力，為有情類示現入胎乃至涅槃種種化相。	甚 深 般 若 波羅蜜多 相 不 可 得  諸 菩 薩 相 亦 不 可 得  但 由 方便善巧 威 力  為 有 情 類 示 現 入 胎 乃至涅槃 種 種 化 相  
ZH_T07_0220e_568:0931b05_5	何以故？	何 以 故  
ZH_T07_0220e_568:0931b07_11	諸天計常謂無墮落，是故菩薩行深般若波羅蜜多方便善巧，為破彼執示現入胎，因令彼天起無常念：	諸 天 計 常 謂 無 墮 落  是 故 菩 薩 行 深 般 若 波羅蜜多 方便善巧  為 破 彼 執 示 現 入 胎  因 令 彼 天 起 無 常 念  
ZH_T07_0220e_568:0931b08_19	『世間最勝、最高、無等，於欲不染尚有墮落，況餘天眾而得常耶？	 世 間 最 勝  最 高  無 等  於 欲 不 染 尚 有 墮 落  況 餘 天 眾 而 得 常 耶  
ZH_T07_0220e_568:0931b10_16	是故皆應勿復放逸，勤加精進繫念修道，如見日輪尚有隱沒，即知螢火不得久住。	是 故 皆 應 勿 復 放 逸  勤加精進 繫 念 修 道  如 見 日 輪 尚 有 隱 沒  即 知 螢 火 不 得 久 住  
ZH_T07_0220e_568:0931b13_1	』復有諸天放逸著樂，不修正法恣情遊戲，雖與菩薩同處天宮，不往禮拜不諮受法，各作是念：	 復 有 諸 天 放 逸 著 樂  不 修 正 法 恣 情 遊 戲  雖 與 菩 薩 同 處 天 宮  不 往 禮 拜 不 諮 受 法  各 作 是 念  
ZH_T07_0220e_568:0931b13_16	『今且受樂，明詣菩薩當受法要。	 今 且 受 樂  明 詣 菩 薩 當 受 法 要  
ZH_T07_0220e_568:0931b13_22	』共相謂言：	 共 相 謂 言  
ZH_T07_0220e_568:0931b14_14	『我與菩薩常此同住，修行何晚？	 我 與 菩 薩 常 此 同 住  修 行 何 晚  
ZH_T07_0220e_568:0931b16_6	』是故菩薩行深般若波羅蜜多，勤修精進如救頭然，破放逸行示現墮落。	 是 故 菩 薩 行 深 般 若 波羅蜜多  勤修精進 如 救 頭 然  破 放 逸 行 示 現 墮 落  
ZH_T07_0220e_568:0931b16_15	如是示現有二因緣：	如 是 示 現 有 二 因 緣  
ZH_T07_0220e_568:0931b17_5	一、令諸天離放逸故。	一  令 諸 天 離 放 逸 故  
ZH_T07_0220e_568:0931b17_15	二、令有情咸得見故。	二  令 有 情 咸 得 見 故  
ZH_T07_0220e_568:0931b20_2	世間復有下劣有情，善根少故，不堪見佛成無上覺轉妙法輪，菩薩為彼示現嬰兒及作童子後宮遊戲；	世 間 復 有 下劣有情  善 根 少 故  不 堪 見 佛 成 無 上 覺 轉 妙 法 輪  菩 薩 為 彼 示 現 嬰 兒 及 作 童 子 後 宮 遊 戲  
ZH_T07_0220e_568:0931b21_11	菩薩若作餘像說法，後宮女人則不信樂，是故示現嬰兒、童子。	菩 薩 若 作 餘 像 說 法  後 宮 女 人 則 不 信 樂  是 故 示 現 嬰 兒  童 子  
ZH_T07_0220e_568:0931b22_8	有高行人常能離俗，菩薩為彼示現出家。	有 高 行 人 常 能 離 俗  菩 薩 為 彼 示 現 出 家  
ZH_T07_0220e_568:0931b22_17	復有天人作如是念：	復 有 天 人 作如是念  
ZH_T07_0220e_568:0931b23_7	『端坐受樂不得聖道。	 端 坐 受 樂 不 得 聖 道  
ZH_T07_0220e_568:0931b23_17	』菩薩為彼示現苦行；	 菩 薩 為 彼 示 現 苦 行  
ZH_T07_0220e_568:0931b24_15	亦為降伏苦行外道，示現種種難行苦行。	亦 為 降 伏 苦 行 外 道  示 現 種 種 難行苦行  
ZH_T07_0220e_568:0931b25_5	復有天人長夜發願：	復 有 天 人 長 夜 發 願  
ZH_T07_0220e_568:0931b26_4	『菩薩行詣菩提座時，我等天人常獻供養。	 菩 薩 行 詣 菩 提 座 時  我 等 天 人 常 獻 供 養  
ZH_T07_0220e_568:0931b26_14	』菩薩為彼詣菩提座。	 菩 薩 為 彼 詣 菩 提 座  
ZH_T07_0220e_568:0931b27_12	無量天人既供養已，一切獲得菩提因緣。	無 量 天 人 既 供 養 已  一 切 獲 得 菩 提 因 緣  
ZH_T07_0220e_568:0931b28_2	復有天人作如是念：	復 有 天 人 作如是念  
ZH_T07_0220e_568:0931b29_19	『惡魔外道障礙正法，願得菩薩坐菩提座，降伏惡魔及諸外道，有正信者皆令見法。	 惡 魔 外 道 障 礙 正 法  願 得 菩 薩 坐菩提座  降 伏 惡 魔 及 諸 外 道  有 正 信 者 皆 令 見 法  
ZH_T07_0220e_568:0931c02_7	』是故菩薩成正覺已，三千世界遍虛空中，種種音聲而讚歎曰：	 是 故 菩 薩 成 正 覺 已  三千世界 遍 虛 空 中  種 種 音 聲 而 讚 歎 曰  
ZH_T07_0220e_568:0931c02_18	『佛日出世，螢光隱沒。	 佛 日 出 世  螢 光 隱 沒  
ZH_T07_0220e_568:0931c03_6	』諸天人等咸作是言：	 諸 天 人 等 咸 作 是 言  
ZH_T07_0220e_568:0931c04_5	『願我未來成無上覺，如今菩薩所證菩提。	 願 我 未 來 成 無 上 覺  如 今 菩 薩 所 證 菩 提  
ZH_T07_0220e_568:0931c04_15	』為此有情坐菩提座。	 為 此 有 情 坐菩提座  
ZH_T07_0220e_568:0931c05_4	有天人等作如是言：	有 天 人 等 作如是言  
ZH_T07_0220e_568:0931c06_6	『願見大師成一切智、一切相智、無師智、自然智。	 願 見 大 師 成 一 切 智  一切相智  無 師 智  自 然 智  
ZH_T07_0220e_568:0931c07_6	』是諸有情雖不求出離，而根性純熟是深法器。	 是 諸 有 情 雖 不 求 出 離  而 根 性 純 熟 是 深 法 器  
ZH_T07_0220e_568:0931c08_5	為是有情示現三轉十二行相無上法輪。	為 是 有 情 示 現 三 轉 十 二 行 相 無上法輪  
ZH_T07_0220e_568:0931c09_4	復有天人樂聞圓寂，菩薩為彼示現涅槃。	復 有 天 人 樂 聞 圓 寂  菩 薩 為 彼 示現涅槃  
ZH_T07_0220e_568:0931c09_10	「天王當知！	 天 王 當 知  
ZH_T07_0220e_568:0931c10_14	諸菩薩摩訶薩行深般若波羅蜜多，能現如是種種化相。	諸 菩薩摩訶薩 行 深 般 若 波羅蜜多  能 現 如 是 種 種 化 相  
ZH_T07_0220e_568:0931c10_20	「天王當知！	 天 王 當 知  
ZH_T07_0220e_568:0931c12_5	諸菩薩摩訶薩行深般若波羅蜜多，終不生於無暇之處。	諸 菩薩摩訶薩 行 深 般 若 波羅蜜多  終 不 生 於 無 暇 之 處  
ZH_T07_0220e_568:0931c12_9	何以故？	何 以 故  
ZH_T07_0220e_568:0931c13_7	無福德人不聞般若波羅蜜多勝名字故。	無 福 德 人 不 聞 般 若 波羅蜜多 勝 名 字 故  
ZH_T07_0220e_568:0931c17_3	是諸菩薩又復常離一切惡業，終不毀犯佛所說戒，心無嫉妬，身語無失，已於過去無量佛所多種善根，具勝福德智慧方便，成就大願心樂寂靜，勤行精進離諸懈怠。	是 諸 菩 薩 又 復 常 離 一 切 惡 業  終 不 毀 犯 佛 所 說 戒  心 無 嫉 妬  身 語 無 失  已 於 過 去 無 量 佛 所 多 種 善 根  具 勝 福 德 智慧方便  成 就 大 願 心 樂 寂 靜  勤行精進 離 諸 懈 怠  
ZH_T07_0220e_568:0931c17_9	「天王當知！	 天 王 當 知  
ZH_T07_0220e_568:0931c18_11	是諸菩薩無有惡業墮地獄趣，十善業道常現行故；	是 諸 菩 薩 無 有 惡 業 墮 地 獄 趣  十善業道 常 現 行 故  
ZH_T07_0220e_568:0931c19_14	是諸菩薩無有破戒墮傍生趣，常能護持所受戒故；	是 諸 菩 薩 無 有 破 戒 墮 傍 生 趣  常 能 護 持 所 受 戒 故  
ZH_T07_0220e_568:0931c21_6	是諸菩薩無有嫉妬，不墮餓鬼趣，不生邪見家，常值善友，遠離惡友。	是 諸 菩 薩 無 有 嫉 妬  不 墮 餓 鬼 趣  不 生 邪 見 家  常 值 善 友  遠 離 惡 友  
ZH_T07_0220e_568:0931c21_10	何以故？	何 以 故  
ZH_T07_0220e_568:0931c22_16	已於過去無量佛所深種善根，是故生處富貴自在皆具正見。	已 於 過 去 無 量 佛 所 深 種 善 根  是 故 生 處 富貴自在 皆 具 正 見  
ZH_T07_0220e_568:0931c23_15	是諸菩薩隨所受身，不缺諸根成佛法器。	是 諸 菩 薩 隨 所 受 身  不 缺 諸 根 成 佛 法 器  
ZH_T07_0220e_568:0931c23_19	何以故？	何 以 故  
