segmentnr	original	stemmed
ZH_T07_0220n_591:1055c02_0	1大般若波羅蜜多經卷第五百九	1 大 般 若 波羅蜜多 經 卷 第 五 百 九 
ZH_T07_0220n_591:1055c03_0	十一	十 一 
ZH_T07_0220n_591:1055c05_0	三藏法師玄奘奉　詔譯	三藏法師 玄 奘 奉  詔 譯 
ZH_T07_0220n_591:1055c07_4	第十五靜慮波羅蜜多分之一如是我聞：	第 十 五 靜慮波羅蜜多 分 之 一 如是我聞  
ZH_T07_0220n_591:1055c08_12	一時，薄伽梵住王舍城鷲峯山中，與大苾芻眾千二百五十人俱。	一 時  薄 伽 梵 住 王 舍 城 鷲 峯 山 中  與 大 苾 芻 眾 千二百五十 人 俱  
ZH_T07_0220n_591:1055c09_5	爾時，具壽舍利子白佛言：	爾 時  具 壽 舍 利 子 白 佛 言  
ZH_T07_0220n_591:1055c09_9	「世尊！	 世 尊  
ZH_T07_0220n_591:1055c10_17	若菩薩摩訶薩欲證無上正等菩提，云何方便安住靜慮波羅蜜多？	若 菩薩摩訶薩 欲 證無上正等菩提  云 何 方 便 安 住 靜慮波羅蜜多  
ZH_T07_0220n_591:1055c11_8	」爾時，世尊告舍利子：	 爾 時  世 尊 告 舍 利 子  
ZH_T07_0220n_591:1055c12_11	「若菩薩摩訶薩欲證無上正等菩提，應先入初靜慮。	 若 菩薩摩訶薩 欲 證無上正等菩提  應 先 入 初 靜 慮  
ZH_T07_0220n_591:1055c13_6	既入如是初靜慮已，應作是念：	既 入 如 是 初 靜 慮 已  應 作 是 念  
ZH_T07_0220n_591:1055c15_3	『我從無際生死已來，數數曾入如是靜慮，作所應作，身心寂靜，故此靜慮於我有恩；	 我 從 無 際 生 死 已 來  數 數 曾 入 如 是 靜 慮  作 所 應 作  身 心 寂 靜  故 此 靜 慮 於 我 有 恩  
ZH_T07_0220n_591:1055c16_2	今復應入，作所應作，此為一切功德所依。	今 復 應 入  作 所 應 作  此 為 一切功德 所 依  
ZH_T07_0220n_591:1055c16_12	』次復應入第二靜慮。	 次 復 應 入 第二靜慮  
ZH_T07_0220n_591:1055c17_7	既入如是第二靜慮已，應作是念：	既 入 如 是 第二靜慮 已  應 作 是 念  
ZH_T07_0220n_591:1055c19_5	『我從無際生死已來，數數曾入如是靜慮，作所應作，身心寂靜，故此靜慮於我有恩；	 我 從 無 際 生 死 已 來  數 數 曾 入 如 是 靜 慮  作 所 應 作  身 心 寂 靜  故 此 靜 慮 於 我 有 恩  
ZH_T07_0220n_591:1055c20_4	今復應入，作所應作，此為一切功德所依。	今 復 應 入  作 所 應 作  此 為 一切功德 所 依  
ZH_T07_0220n_591:1055c20_14	』次復應入第三靜慮。	 次 復 應 入 第三靜慮  
ZH_T07_0220n_591:1055c21_9	既入如是第三靜慮已，應作是念：	既 入 如 是 第三靜慮 已  應 作 是 念  
ZH_T07_0220n_591:1055c23_6	『我從無際生死已來，數數曾入如是靜慮，作所應作，身心寂靜，故此靜慮於我有恩；	 我 從 無 際 生 死 已 來  數 數 曾 入 如 是 靜 慮  作 所 應 作  身 心 寂 靜  故 此 靜 慮 於 我 有 恩  
ZH_T07_0220n_591:1055c24_5	今復應入，作所應作，此為一切功德所依。	今 復 應 入  作 所 應 作  此 為 一切功德 所 依  
ZH_T07_0220n_591:1055c24_15	』次復應入第四靜慮。	 次 復 應 入 第四靜慮  
ZH_T07_0220n_591:1055c25_10	既入如是第四靜慮已，應作是念：	既 入 如 是 第四靜慮 已  應 作 是 念  
ZH_T07_0220n_591:1055c27_8	『我從無際生死已來，數數曾入如是靜慮，作所應作，身心寂靜，故此靜慮於我有恩；	 我 從 無 際 生 死 已 來  數 數 曾 入 如 是 靜 慮  作 所 應 作  身 心 寂 靜  故 此 靜 慮 於 我 有 恩  
ZH_T07_0220n_591:1055c28_8	今復應入，作所應作，此為一切功德所依。	今 復 應 入  作 所 應 作  此 為 一切功德 所 依  
ZH_T07_0220n_591:1055c29_11	』「此菩薩摩訶薩既入如是四靜慮已，復應思惟：	  此 菩薩摩訶薩 既 入 如 是 四 靜 慮 已  復 應 思 惟  
ZH_T07_0220n_591:1056a05_3	『此四靜慮於諸菩薩摩訶薩眾有大恩德，與諸菩薩摩訶薩眾為所依止，謂諸菩薩摩訶薩眾將得無上正等覺時，皆漸次入此四靜慮，既入如是四靜慮已，依第四靜慮引發五神通，降伏魔軍成無上覺。	 此 四 靜 慮 於 諸 菩薩摩訶薩 眾 有 大 恩 德  與 諸 菩薩摩訶薩 眾 為 所 依 止  謂 諸 菩薩摩訶薩 眾 將 得 無上正等覺 時  皆 漸 次 入 此 四 靜 慮  既 入 如 是 四 靜 慮 已  依 第四靜慮 引 發 五 神 通  降 伏 魔 軍 成 無 上 覺  
ZH_T07_0220n_591:1056a05_15	』此菩薩摩訶薩應作是念：	 此 菩薩摩訶薩 應 作 是 念  
