segmentnr	original	stemmed
ZH_T46_1912_04c:0263c04_0	唐毘陵沙門湛然述	唐 毘 陵 沙 門 湛 然 述 
ZH_T46_1912_04c:0263c05_0	次食亦三。且望衣說。頭陀此云抖擻。此十	次 食 亦 三  且 望 衣 說  頭 陀 此 云 抖 擻  此 十 
ZH_T46_1912_04c:0263c06_0	二事皆為抖擻十二過故。今文即二音俱舉。	二 事 皆 為 抖 擻 十 二 過 故  今 文 即 二 音 俱 舉  
ZH_T46_1912_04c:0263c07_4	放牧聲者。	放 牧 聲 者  
ZH_T46_1912_04c:0263c07_14	三里之外使童小牧聲。	三 里 之 外 使 童 小 牧 聲  
ZH_T46_1912_04c:0263c08_4	不聞住處堪修禪觀。	不 聞 住 處 堪 修 禪 觀  
ZH_T46_1912_04c:0263c08_12	世有濫用其言者。	世 有 濫 用 其 言 者  
ZH_T46_1912_04c:0263c09_4	遠放木橛不聞墮聲。	遠 放 木 橛 不 聞 墮 聲  
ZH_T46_1912_04c:0263c09_13	得已復放每夜至三。	得 已 復 放 每 夜 至 三  
ZH_T46_1912_04c:0263c10_4	是名頭陀絕放木聲。	是 名 頭 陀 絕 放 木 聲  
ZH_T46_1912_04c:0263c10_16	如鹽官忍禪師造頭陀經云。	如 鹽 官 忍 禪 師 造 頭 陀 經 云  
ZH_T46_1912_04c:0263c11_4	頭謂煩惱頭主。	頭 謂 煩 惱 頭 主  
ZH_T46_1912_04c:0263c11_11	陀謂陀汰煩惱。	陀 謂 陀 汰 煩 惱  
ZH_T46_1912_04c:0263c12_2	此雖謬言猶勝放木。	此 雖 謬 言 猶 勝 放 木  
ZH_T46_1912_04c:0263c12_11	如斯等例江表尤多。	如 斯 等 例 江 表 尤 多  
ZH_T46_1912_04c:0263c12_15	分衛者。	分 衛 者  
ZH_T46_1912_04c:0263c13_1	此云乞食。	此 云 乞 食  
ZH_T46_1912_04c:0263c13_11	具如頭陀中五種食法。	具 如 頭 陀 中 五 種 食 法  
ZH_T46_1912_04c:0263c13_15	謂常乞。	謂 常 乞  
ZH_T46_1912_04c:0263c13_18	一坐。	一 坐  
ZH_T46_1912_04c:0263c14_1	節量。	節 量  
ZH_T46_1912_04c:0263c14_7	中後不飲漿。	中 後 不 飲 漿  
ZH_T46_1912_04c:0263c14_11	次第乞。	次 第 乞  
ZH_T46_1912_04c:0263c15_4	今此且舉五中之一故云乞食。	今 此 且 舉 五 中 之 一 故 云 乞 食  
ZH_T46_1912_04c:0263c15_15	七佛及方等皆云乞食者。	七 佛 及 方 等 皆 云 乞 食 者  
ZH_T46_1912_04c:0263c16_5	如前四三昧中說。	如 前 四 三 昧 中 說  
ZH_T46_1912_04c:0263c16_14	居阿蘭若必須乞食。	居 阿 蘭 若 必 須 乞 食  
ZH_T46_1912_04c:0263c17_4	墾植耕種舂礱碓磑。	墾 植 耕 種 舂 礱 碓 磑  
ZH_T46_1912_04c:0263c17_13	不受壞生貯宿殘煮。	不 受 壞 生 貯 宿 殘 煮  
ZH_T46_1912_04c:0263c18_4	畜八不淨事涉四邪。	畜 八 不 淨 事 涉 四 邪  
ZH_T46_1912_04c:0263c18_13	污染檀越非蘭若行。	污 染 檀 越 非 蘭 若 行  
ZH_T46_1912_04c:0263c19_4	近代所置彌隔聖言。	近 代 所 置 彌 隔 聖 言  
ZH_T46_1912_04c:0263c19_13	男女往來兼招譏醜。	男 女 往 來 兼 招 譏 醜  
ZH_T46_1912_04c:0263c20_4	儻依佛教利益不輕。	儻 依 佛 教 利 益 不 輕  
ZH_T46_1912_04c:0263c20_11	故十住婆沙云。	故 十 住 婆 沙 云  
ZH_T46_1912_04c:0263c20_17	乞食有十利。	乞 食 有 十 利  
ZH_T46_1912_04c:0263c21_9	一自用活命自屬不屬他。	一 自 用 活 命 自 屬 不 屬 他  
ZH_T46_1912_04c:0263c22_5	二施我者令住三寶然後當食。	二 施 我 者 令 住 三 寶 然 後 當 食  
ZH_T46_1912_04c:0263c22_11	三常生悲心。	三 常 生 悲 心  
ZH_T46_1912_04c:0263c22_17	四隨順佛教。	四 隨 順 佛 教  
ZH_T46_1912_04c:0263c23_4	五易滿易養。	五 易 滿 易 養  
ZH_T46_1912_04c:0263c23_10	六破憍慢法。	六 破 憍 慢 法  
ZH_T46_1912_04c:0263c23_17	七無見頂善根。	七 無 見 頂 善 根  
ZH_T46_1912_04c:0263c24_8	八見我乞食餘者效我。	八 見 我 乞 食 餘 者 效 我  
ZH_T46_1912_04c:0263c25_3	九不與男女大小有諸事故。	九 不 與 男 女 大 小 有 諸 事 故  
ZH_T46_1912_04c:0263c25_12	十次第乞生平等心。	十 次 第 乞 生 平 等 心  
ZH_T46_1912_04c:0263c26_3	如諸釋子本或是王。	如 諸 釋 子 本 或 是 王  
ZH_T46_1912_04c:0263c26_17	居尼俱類園去舍衛城半由旬許。	居 尼 俱 類 園 去 舍 衛 城 半 由 旬 許  
ZH_T46_1912_04c:0263c27_8	入城乞食乞食勞妨。	入 城 乞 食 乞 食 勞 妨  
ZH_T46_1912_04c:0263c28_3	乃至下根許受檀越送食等者。	乃 至 下 根 許 受 檀 越 送 食 等 者  
ZH_T46_1912_04c:0263c28_12	故知住處不宜太遠。	故 知 住 處 不 宜 太 遠  
ZH_T46_1912_04c:0263c28_17	譬喻經云。	譬 喻 經 云  
ZH_T46_1912_04c:0263c29_15	昔波羅奈去城五十里有山有五比丘居。	昔 波 羅 奈 去 城 五 十 里 有 山 有 五 比 丘 居  
ZH_T46_1912_04c:0264a01_4	平旦入城乞食。	平 旦 入 城 乞 食  
ZH_T46_1912_04c:0264a02_2	中後還山日暮乃至疲極不堪安禪。	中 後 還 山 日 暮 乃 至 疲 極 不 堪 安 禪  
ZH_T46_1912_04c:0264a02_11	歷年如此勞而無獲。	歷 年 如 此 勞 而 無 獲  
ZH_T46_1912_04c:0264a02_18	佛化為一道人。	佛 化 為 一 道 人  
ZH_T46_1912_04c:0264a03_7	往至其所安慰之。	往 至 其 所 安 慰 之  
ZH_T46_1912_04c:0264a03_10	答曰。	答 曰  
ZH_T46_1912_04c:0264a04_1	四大之身去城道遠。	四 大 之 身 去 城 道 遠  
ZH_T46_1912_04c:0264a04_6	有何樂耶。	有 何 樂 耶  
ZH_T46_1912_04c:0264a04_13	止念畢命而已。	止 念 畢 命 而 已  
ZH_T46_1912_04c:0264a04_18	化沙門言。	化 沙 門 言  
ZH_T46_1912_04c:0264a05_2	夫道者。	夫 道 者  
ZH_T46_1912_04c:0264a05_11	以戒為本攝心為行。	以 戒 為 本 攝 心 為 行  
ZH_T46_1912_04c:0264a06_3	賤形貴道朽棄軀命。	賤 形 貴 道 朽 棄 軀 命  
ZH_T46_1912_04c:0264a06_12	食以支形守意正定。	食 以 支 形 守 意 正 定  
ZH_T46_1912_04c:0264a07_3	內學止觀滅意得道。	內 學 止 觀 滅 意 得 道  
ZH_T46_1912_04c:0264a07_13	若養身縱情何得免苦。	若 養 身 縱 情 何 得 免 苦  
ZH_T46_1912_04c:0264a08_4	願諸道人明莫乞食。	願 諸 道 人 明 莫 乞 食  
ZH_T46_1912_04c:0264a08_13	吾當供養一日之糧。	吾 當 供 養 一 日 之 糧  
ZH_T46_1912_04c:0264a09_8	明佛送食五人食已俱得羅漢。	明 佛 送 食 五 人 食 已 俱 得 羅 漢  
ZH_T46_1912_04c:0264a09_17	是則住處亦為道緣。	是 則 住 處 亦 為 道 緣  
ZH_T46_1912_04c:0264a10_3	不宜太遠。	不 宜 太 遠  
ZH_T46_1912_04c:0264a10_12	食為道緣此之謂也。	食 為 道 緣 此 之 謂 也  
ZH_T46_1912_04c:0264a11_3	故知如來非但應供。	故 知 如 來 非 但 應 供  
ZH_T46_1912_04c:0264a11_8	復為供應。	復 為 供 應  
ZH_T46_1912_04c:0264a11_14	外護送等者。	外 護 送 等 者  
ZH_T46_1912_04c:0264a12_4	僧中淨食仍為下根。	僧 中 淨 食 仍 為 下 根  
ZH_T46_1912_04c:0264a12_15	豈可安坐房中私營別味。	豈 可 安 坐 房 中 私 營 別 味  
ZH_T46_1912_04c:0264a13_7	或不病託病索眾祗供。	或 不 病 託 病 索 眾 祗 供  
ZH_T46_1912_04c:0264a13_16	無德稱德擊動檀越。	無 德 稱 德 擊 動 檀 越  
ZH_T46_1912_04c:0264a14_8	雖曰許送受必自觀。	雖 曰 許 送 受 必 自 觀  
ZH_T46_1912_04c:0264a14_17	三品不收道何由致。	三 品 不 收 道 何 由 致  
ZH_T46_1912_04c:0264a15_8	觀行食者亦約三等。	觀 行 食 者 亦 約 三 等  
ZH_T46_1912_04c:0264a16_1	夫事食則養色身資報命。	夫 事 食 則 養 色 身 資 報 命  
ZH_T46_1912_04c:0264a16_11	理食則資法身養慧命。	理 食 則 資 法 身 養 慧 命  
