segmentnr	original	stemmed
ZH_T07_0220c_001:0001a02_0	2 會大般若經第二會序序	2   會 大 般 若 經 第 二 會 序 序 
ZH_T07_0220c_001:0001a04_0	沙門玄則撰	沙 門 玄 則 撰 
ZH_T07_0220c_001:0001a05_0	觀夫委契中道攄妙軌於無垠，流賞一歸漾	觀 夫 委 契 中 道 攄 妙 軌 於 無 垠  流 賞 一 歸 漾 
ZH_T07_0220c_001:0001a07_1	玄津於有截，何嘗不首情而汲悟、即事以排疑。	玄 津 於 有 截  何 嘗 不 首 情 而 汲 悟  即 事 以 排 疑  
ZH_T07_0220c_001:0001a08_7	疑繁而誨自廣、悟初而訪逾篤，所以重指鷲阿、再扣龍眾。	疑 繁 而 誨 自 廣  悟 初 而 訪 逾 篤  所 以 重 指 鷲 阿  再 扣 龍 眾  
ZH_T07_0220c_001:0001a11_19	慧命相聚則善現居宗，法忍為群則妙祥端首，既而搖區示警、闢㝢開嚴，舌掩大千、身分巨億，光汎慈影而六趣霑和，聲颺法言而十方動訊，既駭殊觀，方希祕㢡。	慧 命 相 聚 則 善 現 居 宗  法 忍 為 群 則 妙 祥 端 首  既 而 搖 區 示 警  闢 㝢 開 嚴  舌 掩 大 千  身 分 巨 億  光 汎 慈 影 而 六 趣 霑 和  聲 颺 法 言 而 十 方 動 訊  既 駭 殊 觀  方 希 祕 㢡  
ZH_T07_0220c_001:0001a12_11	或謂迹高類誕、情昏佇析。	或 謂 迹 高 類 誕  情 昏 佇 析  
ZH_T07_0220c_001:0001a12_16	故甞言曰：	故 甞 言 曰  
ZH_T07_0220c_001:0001a13_7	徇蠡管之察，是病高深；	徇 蠡 管 之 察  是 病 高 深  
ZH_T07_0220c_001:0001a13_18	執蟪菌之辰，終欺歲祀。	執 蟪 菌 之 辰  終 欺 歲 祀  
ZH_T07_0220c_001:0001a14_9	夫以淺定微術，猶擅五通；	夫 以 淺 定 微 術  猶 擅 五 通  
ZH_T07_0220c_001:0001a14_19	小善片言，實應千里。	小 善 片 言  實 應 千 里  
ZH_T07_0220c_001:0001a15_9	況挻孕群品、彈壓眾靈；	況 挻 孕 群 品  彈 壓 眾 靈  
ZH_T07_0220c_001:0001a15_19	萬期一會，窮冥極遠。	萬 期 一 會  窮 冥 極 遠  
ZH_T07_0220c_001:0001a17_12	是使微塵剎土不動而遊、恒沙諸佛不謀而證，非般若至賾其孰能致此。	是 使 微 塵 剎 土 不 動 而 遊  恒 沙 諸 佛 不 謀 而 證  非 般 若 至 賾 其 孰 能 致 此  
ZH_T07_0220c_001:0001a19_9	是用十空瑩曬、七如朗聽，雖惱趣森橫、寂岸層逈，莫不同幻蕊之開落，不滅不生；	是 用 十 空 瑩 曬  七 如 朗 聽  雖 惱 趣 森 橫  寂 岸 層 逈  莫 不 同 幻 蕊 之 開 落  不滅不生  
ZH_T07_0220c_001:0001a20_1	比夢象之妍媸，無染無淨。	比 夢 象 之 妍 媸  無 染 無 淨  
ZH_T07_0220c_001:0001a21_12	飈谷投響則譽毀共銷，月池寖色則物我俱謝，文優理詣，感通悟永。	飈 谷 投 響 則 譽 毀 共 銷  月 池 寖 色 則 物 我 俱 謝  文 優 理 詣  感 通 悟 永  
ZH_T07_0220c_001:0001a22_20	凡有八十五品、七十八卷，即舊《大品》、《光讚》、《放光》。	凡 有 八 十 五 品  七 十 八 卷  即 舊  大 品    光 讚    放 光   
ZH_T07_0220c_001:0001a24_14	然《大品》之於《光讚》，詞倍豐而加美，即明此分之於《大品》，文益具而彌正，攢輝校寶，豈不盛歟！	然  大 品  之 於  光 讚   詞 倍 豐 而 加 美  即 明 此 分 之 於  大 品   文 益 具 而 彌 正  攢 輝 校 寶  豈 不 盛 歟  
