segmentnr	original	stemmed
ZH_T20_1159B_001:0655b03_0	佛說地藏菩薩陀羅尼經	佛 說 地 藏 菩 薩 陀 羅 尼 經 
ZH_T20_1159B_001:0655b05_0	如是我聞。一時佛在佉羅提耶山牟尼仙所	如是我聞  一 時 佛 在 佉 羅 提 耶 山 牟 尼 仙 所 
ZH_T20_1159B_001:0655b06_0	住之處。與大比丘眾俱無量無數聲聞大眾。	住 之 處  與 大 比 丘 眾 俱 無量無數 聲 聞 大 眾  
ZH_T20_1159B_001:0655b07_13	菩薩摩訶薩無量無邊不可稱計。	菩薩摩訶薩 無量無邊 不可稱計  
ZH_T20_1159B_001:0655b07_18	說月藏訖。	說 月 藏 訖  
ZH_T20_1159B_001:0655b08_9	爾時南方有大香雲雨。	爾 時 南 方 有 大 香 雲 雨  
ZH_T20_1159B_001:0655b08_13	大香雨。	大 香 雨  
ZH_T20_1159B_001:0655b08_18	大華雲雨。	大 華 雲 雨  
ZH_T20_1159B_001:0655b09_2	大華雨。	大 華 雨  
ZH_T20_1159B_001:0655b09_9	無量瓔珞雲雨。	無 量 瓔 珞 雲 雨  
ZH_T20_1159B_001:0655b09_15	種種瓔珞雨。	種 種 瓔 珞 雨  
ZH_T20_1159B_001:0655b10_1	大衣雲雨。	大 衣 雲 雨  
ZH_T20_1159B_001:0655b10_5	大衣雨。	大 衣 雨  
ZH_T20_1159B_001:0655b10_19	於佉羅提耶山牟尼仙所住之處。	於 佉 羅 提 耶 山 牟 尼 仙 所 住 之 處  
ZH_T20_1159B_001:0655b11_8	是諸大雨皆悉遍滿。	是 諸 大 雨 皆 悉 遍 滿  
ZH_T20_1159B_001:0655b12_10	大陰雲雨而香華衣服瓔珞亦說種種無量法音。	大 陰 雲 雨 而 香 華 衣 服 瓔 珞 亦 說 種 種 無 量 法 音  
ZH_T20_1159B_001:0655b13_1	如是次第乃至廣說。	如 是 次 第 乃至廣說  
ZH_T20_1159B_001:0655b13_5	三歸聲。	三 歸 聲  
ZH_T20_1159B_001:0655b13_9	持戒聲。	持 戒 聲  
ZH_T20_1159B_001:0655b13_13	忍辱聲。	忍 辱 聲  
ZH_T20_1159B_001:0655b13_17	精進聲。	精 進 聲  
ZH_T20_1159B_001:0655b13_21	禪定聲。	禪 定 聲  
ZH_T20_1159B_001:0655b14_9	具足智慧降伏四魔聲。	具足智慧 降 伏 四 魔 聲  
ZH_T20_1159B_001:0655b15_1	名稱普聞遍滿三界聲。	名稱普聞 遍 滿 三 界 聲  
ZH_T20_1159B_001:0655b15_7	念定總持聲。	念 定 總 持 聲  
ZH_T20_1159B_001:0655b15_14	空無相無願聲。	空無相無願 聲  
ZH_T20_1159B_001:0655b15_18	離欲聲。	離 欲 聲  
ZH_T20_1159B_001:0655b16_3	色如聚沫聲。	色 如 聚 沫 聲  
ZH_T20_1159B_001:0655b16_9	受如水泡聲。	受 如 水 泡 聲  
ZH_T20_1159B_001:0655b16_15	想如熱炎聲。	想 如 熱 炎 聲  
ZH_T20_1159B_001:0655b17_3	行如芭蕉聲。	行 如 芭 蕉 聲  
ZH_T20_1159B_001:0655b17_8	識如幻聲。	識 如 幻 聲  
ZH_T20_1159B_001:0655b17_17	無常苦空無我之聲。	無 常 苦 空 無 我 之 聲  
ZH_T20_1159B_001:0655b18_1	慚愧聲。	慚 愧 聲  
ZH_T20_1159B_001:0655b18_5	念處聲。	念 處 聲  
ZH_T20_1159B_001:0655b18_11	慈悲喜捨聲。	慈 悲 喜 捨 聲  
ZH_T20_1159B_001:0655b18_16	證諸法聲。	證 諸 法 聲  
ZH_T20_1159B_001:0655b19_2	涅槃無窟宅聲。	涅 槃 無 窟 宅 聲  
ZH_T20_1159B_001:0655b19_6	三乘聲。	三 乘 聲  
ZH_T20_1159B_001:0655b19_11	轉法輪聲。	轉 法 輪 聲  
ZH_T20_1159B_001:0655b19_17	成就眾生聲。	成 就 眾 生 聲  
ZH_T20_1159B_001:0655b20_2	度三惡道聲。	度 三 惡 道 聲  
ZH_T20_1159B_001:0655b20_8	六波羅蜜聲。	六波羅蜜 聲  
ZH_T20_1159B_001:0655b21_1	善巧方便乃至具足十地聲。	善巧方便 乃 至 具 足 十 地 聲  
ZH_T20_1159B_001:0655b21_7	遊戲神通聲。	遊戲神通 聲  
ZH_T20_1159B_001:0655b21_15	遊戲無上大乘聲。	遊 戲 無 上 大 乘 聲  
ZH_T20_1159B_001:0655b22_1	阿鞞跋致聲。	阿鞞跋致 聲  
ZH_T20_1159B_001:0655b22_7	無生法忍聲。	無生法忍 聲  
