segmentnr	original	stemmed
ZH_T07_0220j_001:0991b12_0	11 會大般若經第十一會施波羅蜜多	1 1   會 大 般 若 經 第 十 一 會 施 波羅蜜多 
ZH_T07_0220j_001:0991b13_0	分序序	分 序 序 
ZH_T07_0220j_001:0991b15_0	西明寺沙門玄則撰	西 明 寺 沙 門 玄 則 撰 
ZH_T07_0220j_001:0991b16_11	蓋萬德相照，統之者三身；	蓋 萬 德 相 照  統 之 者 三 身  
ZH_T07_0220j_001:0991b17_2	萬行相資，都之者六度。	萬 行 相 資  都 之 者 六 度  
ZH_T07_0220j_001:0991b17_16	若沖虛之六翮、伺塵之六情矣。	若 沖 虛 之 六 翮  伺 塵 之 六 情 矣  
ZH_T07_0220j_001:0991b18_8	故每因別會，各彰其分焉。	故 每 因 別 會  各 彰 其 分 焉  
ZH_T07_0220j_001:0991b19_11	至如利物之基、捨著之漸，詳其要也，無出施乎。	至 如 利 物 之 基  捨 著 之 漸  詳 其 要 也  無 出 施 乎  
ZH_T07_0220j_001:0991b22_16	但施有淪昇，良資誘析，所以室羅復集、檀那肇唱，欲令三堅失守、十度成津，即當躡四誓之修期、排七空之祕鍵，轢二乘而直上、摧三輪以遐騖。	但 施 有 淪 昇  良 資 誘 析  所 以 室 羅 復 集  檀 那 肇 唱  欲 令 三 堅 失 守  十 度 成 津  即 當 躡 四 誓 之 修 期  排 七 空 之 祕 鍵  轢 二 乘 而 直 上  摧 三 輪 以 遐 騖  
ZH_T07_0220j_001:0991b23_8	糺以唯識，何國城之可依？	糺 以 唯 識  何 國 城 之 可 依  
ZH_T07_0220j_001:0991b23_20	斥以假名，豈頭目之為我？	斥 以 假 名  豈 頭 目 之 為 我  
ZH_T07_0220j_001:0991b24_13	推之以隨喜，則不植而自滋矣；	推 之 以 隨 喜  則 不 植 而 自 滋 矣  
ZH_T07_0220j_001:0991b25_9	絡之以迴向，則不勸而自覃矣；	絡 之 以 迴 向  則 不 勸 而 自 覃 矣  
ZH_T07_0220j_001:0991b26_4	控之以菩提，則不遷而自致矣；	控 之 以 菩 提  則 不 遷 而 自 致 矣  
ZH_T07_0220j_001:0991b26_18	權之以方便，則不念而自融矣。	權 之 以 方 便  則 不 念 而 自 融 矣  
ZH_T07_0220j_001:0991b27_14	故不患物之少也，患夫用心之不弘；	故 不 患 物 之 少 也  患 夫 用 心 之 不 弘  
ZH_T07_0220j_001:0991b28_10	不患施之難也，患夫忘取之不易。	不 患 施 之 難 也  患 夫 忘 取 之 不 易  
ZH_T07_0220j_001:0991b29_5	其有嚴心以為淨，是未臻其嚴矣；	其 有 嚴 心 以 為 淨  是 未 臻 其 嚴 矣  
ZH_T07_0220j_001:0991b29_18	趣寂以為真，是未會其寂矣。	趣 寂 以 為 真  是 未 會 其 寂 矣  
ZH_T07_0220j_001:0991c02_4	又況名譽福樂之求，王賊水火之慮，其於致極，不亦彌遠。	又 況 名 譽 福 樂 之 求  王 賊 水 火 之 慮  其 於 致 極  不 亦 彌 遠  
ZH_T07_0220j_001:0991c03_9	然則大覺之士弘願所歸，其財施也，畢生品以充足；	然 則 大 覺 之 士 弘 願 所 歸  其 財 施 也  畢 生 品 以 充 足  
ZH_T07_0220j_001:0991c04_2	其法施也，罄含識而出離。	其 法 施 也  罄 含 識 而 出 離  
ZH_T07_0220j_001:0991c05_4	然後忘其所以為之，失其所以利之，洎乎無感矣！	然 後 忘 其 所 以 為 之  失 其 所 以 利 之  洎 乎 無 感 矣  
ZH_T07_0220j_001:0991c05_10	巍乎有成矣！	巍 乎 有 成 矣  
ZH_T07_0220j_001:0991c07_19	惟斯文之允被，欣此念之方恢，雖盧至之不拔、卜商之難假，亦冀慈音漸染、鄙悋推移，自此而還，孰能無變！	惟 斯 文 之 允 被  欣 此 念 之 方 恢  雖 盧 至 之 不 拔  卜 商 之 難 假  亦 冀 慈 音 漸 染  鄙 悋 推 移  自 此 而 還  孰 能 無 變  
ZH_T07_0220j_001:0991c09_1	其文句贍溢，誨喻殷明，凡勒成五卷，非重譯矣。	其 文 句 贍 溢  誨 喻 殷 明  凡 勒 成 五 卷  非 重 譯 矣  
ZH_T07_0220j_001:0991c17_4	三藏法師玄奘奉　詔譯第十一布施波羅蜜多分之一如是我聞：	三藏法師 玄 奘 奉  詔 譯 第 十 一 布 施 波羅蜜多 分 之 一 如是我聞  
ZH_T07_0220j_001:0991c18_15	一時，薄伽梵在室羅筏住誓多林給孤獨園，與大苾芻眾千三百人俱。	一 時  薄 伽 梵 在 室 羅 筏 住 誓 多 林 給 孤 獨 園  與 大 苾 芻 眾 千 三 百 人 俱  
ZH_T07_0220j_001:0991c19_5	爾時，世尊告舍利子：	爾 時  世 尊 告 舍 利 子  
ZH_T07_0220j_001:0991c20_11	「諸菩薩摩訶薩修行布施波羅蜜多時，經久如方得圓滿？	 諸 菩薩摩訶薩 修 行 布 施 波羅蜜多 時  經 久 如 方 得 圓 滿  
ZH_T07_0220j_001:0991c21_1	」時，舍利子便白佛言：	 時  舍 利 子 便 白 佛 言  
ZH_T07_0220j_001:0991c21_22	「無上正法，佛為根本，佛為導首，佛為所依。	 無 上 正 法  佛 為 根 本  佛 為 導 首  佛 為 所 依  
ZH_T07_0220j_001:0991c22_17	唯願世尊宣說開示，令苾芻眾聞已受持！	唯 願 世 尊 宣說開示  令 苾 芻 眾 聞 已 受 持  
ZH_T07_0220j_001:0991c23_11	」世尊爾時再三命勸舍利子言：	 世 尊 爾 時 再 三 命 勸 舍 利 子 言  
ZH_T07_0220j_001:0991c24_12	「汝今應為諸菩薩摩訶薩宣說布施波羅蜜多。	 汝 今 應 為 諸 菩薩摩訶薩 宣 說 布 施 波羅蜜多  
ZH_T07_0220j_001:0991c26_16	」爾時，具壽舍利子蒙佛再三慇懃命勸，承佛神力，先以布施波羅蜜多教誡教授諸菩薩摩訶薩言：	 爾 時  具 壽 舍 利 子 蒙 佛 再 三 慇 懃 命 勸  承佛神力  先 以 布 施 波羅蜜多 教 誡 教 授 諸 菩薩摩訶薩 言  
ZH_T07_0220j_001:0991c28_18	「若菩薩摩訶薩欲證無上正等菩提，應緣一切智智，以大悲為上首，修行布施波羅蜜多。	 若 菩薩摩訶薩 欲 證無上正等菩提  應 緣 一切智智  以 大 悲 為 上 首  修 行 布 施 波羅蜜多  
ZH_T07_0220j_001:0992a02_12	若菩薩摩訶薩緣一切智智，大悲為上首，修行布施波羅蜜多，是菩薩摩訶薩則能攝受一切智智，疾證無上正等菩提。	若 菩薩摩訶薩 緣 一切智智  大 悲 為 上 首  修 行 布 施 波羅蜜多  是 菩薩摩訶薩 則 能 攝 受 一切智智  疾 證無上正等菩提  
ZH_T07_0220j_001:0992a04_11	復次，諸菩薩摩訶薩寧以無記心行於布施或不行施，終不以迴向二乘地心而行布施。	復 次  諸 菩薩摩訶薩 寧 以 無 記 心 行 於 布 施 或 不 行 施  終 不 以 迴 向 二 乘 地 心 而 行 布 施  
ZH_T07_0220j_001:0992a04_15	何以故？	何 以 故  
ZH_T07_0220j_001:0992a05_12	諸菩薩摩訶薩應怖聲聞、獨覺地故。	諸 菩薩摩訶薩 應 怖 聲 聞  獨 覺 地 故  
ZH_T07_0220j_001:0992a06_11	」爾時，滿慈子問舍利子言：	 爾 時  滿 慈 子 問 舍 利 子 言  
ZH_T07_0220j_001:0992a07_11	「何因何緣，諸菩薩摩訶薩應怖聲聞及獨覺地？	 何因何緣  諸 菩薩摩訶薩 應 怖 聲 聞 及 獨 覺 地  
ZH_T07_0220j_001:0992a07_17	」舍利子言：	 舍 利 子 言  
ZH_T07_0220j_001:0992a08_19	「勿諸菩薩摩訶薩眾謂一切智與二乘等，故我令怖。	 勿 諸 菩薩摩訶薩 眾 謂 一 切 智 與 二 乘 等  故 我 令 怖  
ZH_T07_0220j_001:0992a09_13	」時，滿慈子復問具壽舍利子言：	 時  滿 慈 子 復 問 具 壽 舍 利 子 言  
ZH_T07_0220j_001:0992a10_7	「諸菩薩施與聲聞施有何差別？	 諸 菩 薩 施 與 聲 聞 施 有何差別  
ZH_T07_0220j_001:0992a10_13	」舍利子言：	 舍 利 子 言  
ZH_T07_0220j_001:0992a12_6	「聲聞行施迴向涅槃、阿羅漢果，菩薩行施迴向菩提、一切智智，是謂差別。	 聲 聞 行 施 迴 向 涅 槃  阿羅漢果  菩 薩 行 施 迴向菩提  一切智智  是 謂 差 別  
ZH_T07_0220j_001:0992a12_13	「又，滿慈子！	 又  滿 慈 子  
ZH_T07_0220j_001:0992a12_22	如有二人俱行布施。	如 有 二 人 俱 行 布 施  
ZH_T07_0220j_001:0992a13_17	一緣王位而求勝果，彼行施時作如是念：	一 緣 王 位 而 求 勝 果  彼 行 施 時 作如是念  
ZH_T07_0220j_001:0992a14_16	『願我由此作大國王，統領八方皆得自在。	 願 我 由 此 作 大 國 王  統 領 八 方 皆 得 自 在  
ZH_T07_0220j_001:0992a15_15	』彼隨此願後得為王，匡化世間自在安樂。	 彼 隨 此 願 後 得 為 王  匡 化 世 間 自 在 安 樂  
ZH_T07_0220j_001:0992a16_14	一緣臣位而求勝果，彼行施時作如是念：	一 緣 臣 位 而 求 勝 果  彼 行 施 時 作如是念  
ZH_T07_0220j_001:0992a18_3	『願我由此得作大臣，王所愛念委任驅策，隨王所欲皆能成辦。	 願 我 由 此 得 作 大 臣  王 所 愛 念 委 任 驅 策  隨 王 所 欲 皆 能 成 辦  
ZH_T07_0220j_001:0992a18_14	』彼由此願，終不為王。	 彼 由 此 願  終 不 為 王  
ZH_T07_0220j_001:0992a19_11	雖此二人俱行布施，而隨所願果有勝劣。	雖 此 二 人 俱 行 布 施  而 隨 所 願 果 有 勝 劣  
ZH_T07_0220j_001:0992a22_10	菩薩、聲聞行施亦爾，謂諸菩薩行布施時，緣一切智智，大悲為上首，以所修行與有情共迴向無上正等菩提，由此能得一切智智。	菩 薩  聲 聞 行 施 亦 爾  謂 諸 菩 薩 行 布 施 時  緣 一切智智  大 悲 為 上 首  以 所 修 行 與 有 情 共 迴 向 無上正等菩提  由 此 能 得 一切智智  
ZH_T07_0220j_001:0992a23_17	若聲聞眾行布施時，緣聲聞果自求解脫，不求無上正等菩提。	若 聲 聞 眾 行 布 施 時  緣 聲 聞 果 自 求 解 脫  不 求 無上正等菩提  
ZH_T07_0220j_001:0992a26_2	菩薩、聲聞雖俱行施，而隨意願果有勝劣，一由施故得一切智智，一由施故得聲聞果，是謂差別。	菩 薩  聲 聞 雖 俱 行 施  而 隨 意 願 果 有 勝 劣  一 由 施 故 得 一切智智  一 由 施 故 得 聲 聞 果  是 謂 差 別  
ZH_T07_0220j_001:0992a26_9	「又，滿慈子！	 又  滿 慈 子  
ZH_T07_0220j_001:0992a27_5	譬如有人修行布施，求作長者或作居士。	譬 如 有 人 修 行 布 施  求 作 長 者 或 作 居 士  
ZH_T07_0220j_001:0992a29_2	復有一人修行布施，願為長者、居士、僮僕，當知菩薩、聲聞行施勝劣意願亦復如是。	復 有 一 人 修 行 布 施  願 為 長 者  居 士  僮 僕  當 知 菩 薩  聲 聞 行 施 勝 劣 意 願 亦復如是  
ZH_T07_0220j_001:0992b01_11	」爾時，滿慈子讚舍利子言：	 爾 時  滿 慈 子 讚 舍 利 子 言  
ZH_T07_0220j_001:0992b02_1	「所說譬喻甚為希有！	 所 說 譬 喻 甚 為 希 有  
ZH_T07_0220j_001:0992b02_19	善能開顯二施差別，我亦當說二施譬喻。	善 能 開 顯 二 施 差 別  我 亦 當 說 二 施 譬 喻  
ZH_T07_0220j_001:0992b03_17	謂如有人持百千寶詣巨富者，作如是言：	謂 如 有 人 持 百 千 寶 詣 巨 富 者  作如是言  
ZH_T07_0220j_001:0992b05_6	『今以此物奉上仁者，願相攝受作親僮僕，所有事業我皆能辦。	 今 以 此 物 奉 上 仁 者  願 相 攝 受 作 親 僮 僕  所 有 事 業 我 皆 能 辦  
ZH_T07_0220j_001:0992b06_15	』諸聲聞眾行施亦然，願作如來親近弟子，菩薩不爾，是謂差別。	 諸 聲 聞 眾 行 施 亦 然  願 作 如 來 親 近 弟 子  菩 薩 不 爾  是 謂 差 別  
ZH_T07_0220j_001:0992b06_21	又，舍利子！	又  舍 利 子  
ZH_T07_0220j_001:0992b08_8	如有女人捨王宮樂，持百千寶竊詣長者或商主家，而語彼言：	如 有 女 人 捨 王 宮 樂  持 百 千 寶 竊 詣 長 者 或 商 主 家  而 語 彼 言  
ZH_T07_0220j_001:0992b09_11	『今奉此寶，願相納受以為妻室，畢身承事終不虧違。	 今 奉 此 寶  願 相 納 受 以 為 妻 室  畢 身 承 事 終 不 虧 違  
ZH_T07_0220j_001:0992b10_20	』如是聲聞修行布施，但欲求作如來弟子，菩薩不然，是謂差別。	 如 是 聲 聞 修 行 布 施  但 欲 求 作 如 來 弟 子  菩 薩 不 然  是 謂 差 別  
ZH_T07_0220j_001:0992b11_13	」時，舍利子便讚具壽滿慈子言：	 時  舍 利 子 便 讚 具 壽 滿 慈 子 言  
ZH_T07_0220j_001:0992b12_7	「善能辯說二施譬喻甚為希有！	 善 能 辯 說 二 施 譬 喻 甚 為 希 有  
ZH_T07_0220j_001:0992b13_6	謂諸聲聞無巧方便，所行布施取聲聞果；	謂 諸 聲 聞 無 巧 方 便  所 行 布 施 取 聲 聞 果  
ZH_T07_0220j_001:0992b14_14	若諸菩薩有巧方便，所行布施普為攝受一切有情，得一切智。	若 諸 菩 薩 有 巧 方 便  所 行 布 施 普 為 攝 受 一切有情  得 一 切 智  
ZH_T07_0220j_001:0992b15_6	「又，滿慈子！	 又  滿 慈 子  
ZH_T07_0220j_001:0992b16_15	若菩薩摩訶薩欲證無上正等菩提，一切行中應先行施，作如是念：	若 菩薩摩訶薩 欲 證無上正等菩提  一 切 行 中 應 先 行 施  作如是念  
ZH_T07_0220j_001:0992b18_17	『我今所造此惠施業，施十方界一切有情，令永解脫惡趣生死，未發無上菩提心者，令速發心；	 我 今 所 造 此 惠 施 業  施 十 方 界 一切有情  令 永 解 脫 惡 趣 生 死  未 發 無上菩提心 者  令 速 發 心  
ZH_T07_0220j_001:0992b19_11	已發無上菩提心者，令永不退；	已 發 無上菩提心 者  令 永 不 退  
ZH_T07_0220j_001:0992b20_14	若於無上正等菩提已不退者，令速圓滿一切智智。	若 於 無上正等菩提 已 不 退 者  令 速 圓 滿 一切智智  
ZH_T07_0220j_001:0992b22_3	』如是菩薩思惟外境不離內心，攝諸善根令其漸次皆得增長。	 如 是 菩 薩 思 惟 外 境 不 離 內 心  攝 諸 善 根 令 其 漸 次 皆 得 增 長  
ZH_T07_0220j_001:0992b26_12	是諸菩薩若時若時攝受善根護令不退，此諸菩薩爾時爾時展轉鄰近一切智智，是諸菩薩若時若時漸得鄰近一切智智，此諸菩薩爾時爾時善根圓滿，趣向無上正等菩提，能盡未來利樂一切。	是 諸 菩 薩 若 時 若 時 攝 受 善 根 護 令 不 退  此 諸 菩 薩 爾 時 爾 時 展 轉 鄰 近 一切智智  是 諸 菩 薩 若 時 若 時 漸 得 鄰 近 一切智智  此 諸 菩 薩 爾 時 爾 時 善 根 圓 滿  趣 向 無上正等菩提  能 盡 未 來 利 樂 一 切  
ZH_T07_0220j_001:0992b27_6	「又，滿慈子！	 又  滿 慈 子  
ZH_T07_0220j_001:0992b28_1	諸菩薩摩訶薩修行布施，作是思惟：	諸 菩薩摩訶薩 修 行 布 施  作是思惟  
ZH_T07_0220j_001:0992b29_8	『若諸有情眼所照處，願彼一切皆得如是我所惠捨飲食等物。	 若 諸 有 情 眼 所 照 處  願 彼 一 切 皆 得 如 是 我 所 惠 捨 飲 食 等 物  
