segmentnr	original	stemmed
ZH_T46_1912_02d:0203b04_0	唐毘陵沙門湛然述	唐 毘 陵 沙 門 湛 然 述 
ZH_T46_1912_02d:0203b05_0	次諸惡中初明觀境中。云夫善惡無定等	次 諸 惡 中 初 明 觀 境 中  云 夫 善 惡 無 定 等 
ZH_T46_1912_02d:0203b06_0	者。先明通相善惡也。此則未可盡為觀境。	者  先 明 通 相 善 惡 也  此 則 未 可 盡 為 觀 境  
ZH_T46_1912_02d:0203b07_2	何者。	何 者  
ZH_T46_1912_02d:0203b07_11	展轉相望得善惡名。	展轉相望 得 善 惡 名  
ZH_T46_1912_02d:0203b08_3	是則人誰無善誰不有惡。	是 則 人 誰 無 善 誰 不 有 惡  
ZH_T46_1912_02d:0203b08_12	是故不以為今觀境。	是 故 不 以 為 今 觀 境  
ZH_T46_1912_02d:0203b09_1	言寧起等者。	言 寧 起 等 者  
ZH_T46_1912_02d:0203b09_10	心凶為惡身病曰癩。	心 凶 為 惡 身 病 曰 癩  
ZH_T46_1912_02d:0203b09_17	乍起三途之心。	乍 起 三 途 之 心  
ZH_T46_1912_02d:0203b10_5	不生二乘之念。	不 生 二 乘 之 念  
ZH_T46_1912_02d:0203b10_9	毒器者。	毒 器 者  
ZH_T46_1912_02d:0203b10_18	大論斥三藏菩薩云。	大 論 斥 三 藏 菩 薩 云  
ZH_T46_1912_02d:0203b11_12	具足三毒云何能集無量功德。	具 足 三 毒 云 何 能 集 無量功德  
ZH_T46_1912_02d:0203b12_8	譬如毒瓶雖貯甘露皆不中食。	譬 如 毒 瓶 雖 貯 甘 露 皆 不 中 食  
ZH_T46_1912_02d:0203b13_4	菩薩修諸純淨功德乃得作佛。	菩 薩 修 諸 純 淨 功 德 乃 得 作 佛  
ZH_T46_1912_02d:0203b13_9	若雜三毒。	若 雜 三 毒  
ZH_T46_1912_02d:0203b13_18	云何能具清淨法門。	云 何 能 具 清 淨 法 門  
ZH_T46_1912_02d:0203b14_8	菩薩之身猶如毒器。	菩 薩 之 身 猶 如 毒 器  
ZH_T46_1912_02d:0203b14_17	具足煩惱名為有毒。	具 足 煩 惱 名 為 有 毒  
ZH_T46_1912_02d:0203b15_8	修習佛法如貯甘露。	修 習 佛 法 如 貯 甘 露  
ZH_T46_1912_02d:0203b16_4	此法教他令他失於常住之命。	此 法 教 他 令 他 失 於 常 住 之 命  
ZH_T46_1912_02d:0203b16_16	大經云自此等者引證別教。	大 經 云 自 此 等 者 引 證 別 教  
ZH_T46_1912_02d:0203b17_7	故四相品中迦葉序云。	故 四 相 品 中 迦 葉 序 云  
ZH_T46_1912_02d:0203b17_16	自我未聞四德之前。	自 我 未 聞 四 德 之 前  
ZH_T46_1912_02d:0203b18_3	皆是邪見。	皆 是 邪 見  
ZH_T46_1912_02d:0203b18_12	此是迦葉謙退自斥。	此 是 迦 葉 謙 退 自 斥  
ZH_T46_1912_02d:0203b18_17	義同於邪。	義 同 於 邪  
ZH_T46_1912_02d:0203b19_6	豈此已前頓同三外。	豈 此 已 前 頓 同 三 外  
ZH_T46_1912_02d:0203b19_11	今亦如是。	今 亦 如 是  
ZH_T46_1912_02d:0203b20_2	未稱理故義云邪見。	未 稱 理 故 義 云 邪 見  
ZH_T46_1912_02d:0203b20_7	邪即是惡。	邪 即 是 惡  
ZH_T46_1912_02d:0203b20_16	是故當知唯圓為善。	是故當知 唯 圓 為 善  
ZH_T46_1912_02d:0203b21_2	復有二意。	復 有 二 意  
ZH_T46_1912_02d:0203b21_13	一者以順為善以背為惡。	一 者 以 順 為 善 以 背 為 惡  
ZH_T46_1912_02d:0203b21_18	相待意也。	相 待 意 也  
ZH_T46_1912_02d:0203b22_12	次若達下以著為惡以達為善。	次 若 達 下 以 著 為 惡 以 達 為 善  
ZH_T46_1912_02d:0203b23_4	相待絕待俱須離惡。	相 待 絕 待 俱 須 離 惡  
ZH_T46_1912_02d:0203b23_9	圓著尚惡。	圓 著 尚 惡  
ZH_T46_1912_02d:0203b23_14	況復餘耶。	況 復 餘 耶  
ZH_T46_1912_02d:0203b24_3	如此下結成通相。	如 此 下 結 成 通 相  
ZH_T46_1912_02d:0203b24_15	今就下別明極惡方為觀境。	今 就 下 別 明 極 惡 方 為 觀 境  
