segmentnr	original	stemmed
ZH_T07_0220f_574:0964a21_0	1大般若波羅蜜多經卷第五百七	1 大 般 若 波羅蜜多 經 卷 第 五 百 七 
ZH_T07_0220f_574:0964a22_0	十四	十 四 
ZH_T07_0220f_574:0964a24_0	三藏法師玄奘奉　詔譯	三藏法師 玄 奘 奉  詔 譯 
ZH_T07_0220f_574:0964a26_4	第七曼殊室利分之一如是我聞：	第 七 曼 殊 室 利 分 之 一 如是我聞  
ZH_T07_0220f_574:0964a28_17	一時，薄伽梵在室羅筏住誓多林給孤獨園，與大苾芻眾百千人俱，皆阿羅漢，唯阿難陀猶居學地，舍利子等而為上首。	一 時  薄 伽 梵 在 室 羅 筏 住 誓 多 林 給 孤 獨 園  與 大 苾 芻 眾 百 千 人 俱  皆 阿 羅 漢  唯 阿 難 陀 猶 居 學 地  舍 利 子 等 而 為 上 首  
ZH_T07_0220f_574:0964b02_14	復與菩薩摩訶薩眾十千人俱，皆不退轉功德甲冑而自莊嚴，慈氏菩薩、妙吉祥菩薩、無礙辯菩薩、不捨善軛菩薩而為上首。	復 與 菩薩摩訶薩 眾 十 千 人 俱  皆 不 退 轉 功 德 甲 冑 而 自 莊 嚴  慈 氏 菩 薩  妙 吉 祥 菩 薩  無 礙 辯 菩 薩  不 捨 善 軛 菩 薩 而 為 上 首  
ZH_T07_0220f_574:0964b04_3	曼殊室利童子菩薩明相現時出自住處，詣如來所，在外而立。	曼 殊 室 利 童 子 菩 薩 明 相 現 時 出 自 住 處  詣 如 來 所  在 外 而 立  
ZH_T07_0220f_574:0964b06_20	具壽舍利子、大迦多衍那、大迦葉波、大採菽氏、滿慈子、執大藏，如是一切大聲聞僧，亦於此時各從住處，詣如來所，在外而立。	具 壽 舍 利 子  大 迦 多 衍 那  大 迦 葉 波  大 採 菽 氏  滿 慈 子  執 大 藏  如是一切 大 聲 聞 僧  亦 於 此 時 各 從 住 處  詣 如 來 所  在 外 而 立  
ZH_T07_0220f_574:0964b08_12	爾時，世尊知諸大眾皆來集已，從住處出，敷如常座結跏趺坐，告舍利子：	爾 時  世 尊 知 諸 大 眾 皆 來 集 已  從 住 處 出  敷 如 常 座 結跏趺坐  告 舍 利 子  
ZH_T07_0220f_574:0964b09_6	「汝今何故於晨朝時在門外立？	 汝 今 何 故 於 晨 朝 時 在 門 外 立  
ZH_T07_0220f_574:0964b09_15	」時，舍利子白言：	 時  舍 利 子 白 言  
ZH_T07_0220f_574:0964b09_19	「世尊！	 世 尊  
ZH_T07_0220f_574:0964b10_14	曼殊室利童子菩薩先來住此，我等後來。	曼 殊 室 利 童 子 菩 薩 先 來 住 此  我 等 後 來  
ZH_T07_0220f_574:0964b11_14	」爾時，世尊知而故問曼殊室利言：	 爾 時  世 尊 知 而 故 問 曼 殊 室 利 言  
ZH_T07_0220f_574:0964b11_19	「善男子！	 善 男 子  
ZH_T07_0220f_574:0964b12_16	汝實先來至此住處，為欲觀禮親近佛耶？	汝 實 先 來 至 此 住 處  為 欲 觀 禮 親 近 佛 耶  
ZH_T07_0220f_574:0964b13_6	」曼殊室利前白佛言：	 曼 殊 室 利 前 白 佛 言  
ZH_T07_0220f_574:0964b13_10	「如是！	 如 是  
ZH_T07_0220f_574:0964b13_13	世尊！	世 尊  
ZH_T07_0220f_574:0964b13_16	如是！	如 是  
ZH_T07_0220f_574:0964b13_19	善逝！	善 逝  
ZH_T07_0220f_574:0964b13_23	何以故？	何 以 故  
ZH_T07_0220f_574:0964b15_7	我於如來觀禮親近甞無厭足，為欲利樂諸有情故實先來此。	我 於 如 來 觀 禮 親 近 甞 無 厭 足  為 欲 利 樂 諸 有 情 故 實 先 來 此  
ZH_T07_0220f_574:0964b15_10	世尊！	世 尊  
ZH_T07_0220f_574:0964b19_3	我今來至此處親近禮敬觀如來者，專為利樂一切有情，非為證得佛菩提故，非為樂觀如來身故，非為擾動真法界故，非為分別諸法性故，亦不為餘種種事故。	我 今 來 至 此 處 親 近 禮 敬 觀 如 來 者  專 為 利 樂 一切有情  非 為 證 得 佛 菩 提 故  非 為 樂 觀 如 來 身 故  非 為 擾 動 真 法 界 故  非 為 分別諸法 性 故  亦 不 為 餘 種 種 事 故  
ZH_T07_0220f_574:0964b22_19	我觀如來即真如相無動無作、無所分別無異分別、非即方處非離方處、非有非無、非常非斷、非即三世非離三世、無生無滅、無去無來、無染不染、無二不二，心言路絕。	我 觀 如 來 即 真 如 相 無 動 無 作  無所分別 無異分別  非 即 方 處 非 離 方 處  非有非無  非 常 非 斷  非 即 三 世 非 離 三 世  無生無滅  無 去 無 來  無 染 不 染  無 二 不 二  心 言 路 絕  
ZH_T07_0220f_574:0964b24_15	若以此等真如之相觀於如來，名真見佛，亦名禮敬親近如來，實於有情能為利樂。	若 以 此 等 真 如 之 相 觀 於 如 來  名 真 見 佛  亦 名 禮 敬 親 近 如 來  實 於 有 情 能 為 利 樂  
ZH_T07_0220f_574:0964b25_6	」佛告曼殊室利童子：	 佛 告 曼 殊 室 利 童 子  
ZH_T07_0220f_574:0964b25_16	「汝作是觀為何所見？	 汝 作 是 觀 為 何 所 見  
ZH_T07_0220f_574:0964b26_3	」曼殊室利白言：	 曼 殊 室 利 白 言  
ZH_T07_0220f_574:0964b26_7	「世尊！	 世 尊  
ZH_T07_0220f_574:0964b27_4	我作是觀都無所見，於諸法相亦無所取。	我 作 是 觀 都 無 所 見  於 諸 法 相 亦 無 所 取  
ZH_T07_0220f_574:0964b27_8	」佛言：	 佛 言  
ZH_T07_0220f_574:0964b27_12	「善哉！	 善 哉  
ZH_T07_0220f_574:0964b27_15	善哉！	善 哉  
ZH_T07_0220f_574:0964b27_18	童子！	童 子  
ZH_T07_0220f_574:0964b29_2	汝能如是觀於如來，於一切法心無所取亦無不取，非集非散。	汝 能 如 是 觀 於 如 來  於一切法 心 無 所 取 亦 無 不 取  非 集 非 散  
ZH_T07_0220f_574:0964b29_15	」時，舍利子謂曼殊室利言：	 時  舍 利 子 謂 曼 殊 室 利 言  
ZH_T07_0220f_574:0964c01_12	「仁能如是親近禮敬觀於如來，甚為希有！	 仁 能 如 是 親 近 禮 敬 觀 於 如 來  甚 為 希 有  
ZH_T07_0220f_574:0964c02_11	雖常慈愍一切有情，而於有情都無所得；	雖 常 慈 愍 一切有情  而 於 有 情 都 無 所 得  
ZH_T07_0220f_574:0964c03_10	雖能化導一切有情令趣涅槃，而無所執；	雖 能 化 導 一切有情 令 趣 涅 槃  而 無 所 執  
ZH_T07_0220f_574:0964c04_18	雖為利樂諸有情故擐大甲冑，而於其中不起積集、散壞方便。	雖 為 利 樂 諸 有 情 故 擐 大 甲 冑  而 於 其 中 不 起 積 集  散 壞 方 便  
ZH_T07_0220f_574:0964c05_9	」時，曼殊室利白舍利子言：	 時  曼 殊 室 利 白 舍 利 子 言  
ZH_T07_0220f_574:0964c05_13	「如是！	 如 是  
ZH_T07_0220f_574:0964c05_16	如是！	如 是  
ZH_T07_0220f_574:0964c07_16	如尊所說，我為利樂諸有情故，擐大甲冑令趣涅槃，實於有情及涅槃界所化、所證無得無執。	如 尊 所 說  我 為 利 樂 諸 有 情 故  擐 大 甲 冑 令 趣 涅 槃  實 於 有 情 及 涅 槃 界 所 化  所 證 無 得 無 執  
ZH_T07_0220f_574:0964c08_2	又，舍利子！	又  舍 利 子  
ZH_T07_0220f_574:0964c08_15	非我實欲利樂有情擐大甲冑。	非 我 實 欲 利樂有情 擐 大 甲 冑  
ZH_T07_0220f_574:0964c09_1	所以者何？	所以者何  
ZH_T07_0220f_574:0964c09_10	諸有情界無增無減。	諸 有 情 界 無增無減  
ZH_T07_0220f_574:0964c12_15	假使於此一佛土中，有如殑伽沙數諸佛，一一皆住爾所大劫，晝夜常說爾所法門，一一法門各能度脫爾所佛土諸有情類，悉皆令入無餘涅槃。	假 使 於 此 一 佛 土 中  有 如 殑伽沙數 諸 佛  一 一 皆 住 爾 所 大 劫  晝 夜 常 說 爾 所 法 門  一 一 法 門 各 能 度 脫 爾 所 佛 土 諸 有 情 類  悉 皆 令 入無餘涅槃  
ZH_T07_0220f_574:0964c14_4	如此佛土有如是事，餘十方面各如殑伽沙等世界亦復如是。	如 此 佛 土 有 如 是 事  餘 十 方 面 各 如 殑 伽 沙 等 世 界 亦復如是  
ZH_T07_0220f_574:0964c16_11	雖有爾所諸佛世尊，經爾所時說爾所法，度脫爾所諸有情類，皆令證入無餘涅槃，而有情界亦無增減。	雖 有 爾 所 諸佛世尊  經 爾 所 時 說 爾 所 法  度 脫 爾 所 諸 有 情 類  皆 令 證 入無餘涅槃  而 有 情 界 亦 無 增 減  
ZH_T07_0220f_574:0964c16_15	何以故？	何 以 故  
ZH_T07_0220f_574:0964c17_13	以諸有情自性離故、無邊際故不可增減。	以 諸 有 情 自 性 離 故  無 邊 際 故 不 可 增 減  
ZH_T07_0220f_574:0964c17_19	」舍利子言：	 舍 利 子 言  
ZH_T07_0220f_574:0964c18_3	「曼殊室利！	 曼 殊 室 利  
ZH_T07_0220f_574:0964c20_1	若諸有情自性離故、無邊際故無增減者，何緣菩薩求大菩提欲為有情常說妙法？	若 諸 有 情 自 性 離 故  無 邊 際 故 無 增 減 者  何 緣 菩 薩 求大菩提 欲 為 有 情 常 說 妙 法  
ZH_T07_0220f_574:0964c20_8	」曼殊室利言：	 曼 殊 室 利 言  
ZH_T07_0220f_574:0964c20_13	「舍利子！	 舍 利 子  
ZH_T07_0220f_574:0964c21_16	我說有情都不可得，何有菩薩求大菩提欲為有情常說妙法？	我 說 有 情 都 不 可 得  何 有 菩 薩 求大菩提 欲 為 有 情 常 說 妙 法  
ZH_T07_0220f_574:0964c22_2	何以故？	何 以 故  
ZH_T07_0220f_574:0964c22_6	舍利子！	舍 利 子  
ZH_T07_0220f_574:0964c22_15	諸法畢竟不可得故。	諸 法 畢 竟 不 可 得 故  
ZH_T07_0220f_574:0964c23_8	」佛告曼殊室利童子：	 佛 告 曼 殊 室 利 童 子  
ZH_T07_0220f_574:0964c24_7	「若諸有情都不可得，云何施設諸有情界？	 若 諸 有 情 都 不 可 得  云 何 施 設 諸 有 情 界  
ZH_T07_0220f_574:0964c24_15	」曼殊室利白言：	 曼 殊 室 利 白 言  
ZH_T07_0220f_574:0964c24_19	「世尊！	 世 尊  
ZH_T07_0220f_574:0964c25_6	有情界者但假施設。	有 情 界 者 但 假 施 設  
ZH_T07_0220f_574:0964c25_13	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0964c25_18	設有問汝：	設 有 問 汝  
ZH_T07_0220f_574:0964c26_5	有情界者為有幾何？	有 情 界 者 為 有 幾 何  
ZH_T07_0220f_574:0964c26_14	汝得彼問當云何答？	汝 得 彼 問 當 云 何 答  
ZH_T07_0220f_574:0964c26_19	」「世尊！	  世 尊  
ZH_T07_0220f_574:0964c27_4	我當作如是答：	我 當 作 如 是 答  
ZH_T07_0220f_574:0964c27_14	如佛法數，彼界亦爾。	如 佛 法 數  彼 界 亦 爾  
ZH_T07_0220f_574:0964c27_21	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0964c28_3	設復問汝：	設 復 問 汝  
ZH_T07_0220f_574:0964c28_12	有情界者其量云何？	有 情 界 者 其 量 云 何  
ZH_T07_0220f_574:0964c29_2	汝得彼問復云何答？	汝 得 彼 問 復 云 何 答  
ZH_T07_0220f_574:0964c29_7	」「世尊！	  世 尊  
ZH_T07_0220f_574:0964c29_14	我當作如是答：	我 當 作 如 是 答  
ZH_T07_0220f_574:0965a01_1	有情界量如諸佛境。	有 情 界 量 如 諸 佛 境  
ZH_T07_0220f_574:0965a01_8	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0965a01_13	設有問言：	設 有 問 言  
ZH_T07_0220f_574:0965a01_22	諸有情界為何所屬？	諸 有 情 界 為 何 所 屬  
ZH_T07_0220f_574:0965a02_8	汝得彼問復云何答？	汝 得 彼 問 復 云 何 答  
ZH_T07_0220f_574:0965a02_13	」「世尊！	  世 尊  
ZH_T07_0220f_574:0965a02_20	我當作如是答：	我 當 作 如 是 答  
ZH_T07_0220f_574:0965a03_7	彼界所屬如佛難思。	彼 界 所 屬 如 佛 難 思  
ZH_T07_0220f_574:0965a03_14	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0965a03_19	設有問言：	設 有 問 言  
ZH_T07_0220f_574:0965a04_6	有情界者為何所住？	有 情 界 者 為 何 所 住  
ZH_T07_0220f_574:0965a04_15	汝得彼問復云何答？	汝 得 彼 問 復 云 何 答  
ZH_T07_0220f_574:0965a04_20	」「世尊！	  世 尊  
ZH_T07_0220f_574:0965a05_5	我當作如是答：	我 當 作 如 是 答  
ZH_T07_0220f_574:0965a06_4	若離染際所應住法，即有情界所應住法。	若 離 染 際 所 應 住 法  即 有 情 界 所 應 住 法  
ZH_T07_0220f_574:0965a06_11	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0965a07_3	汝修般若波羅蜜多為何所住？	汝 修 般 若 波羅蜜多 為 何 所 住  
ZH_T07_0220f_574:0965a07_8	」「世尊！	  世 尊  
ZH_T07_0220f_574:0965a08_2	我修甚深般若波羅蜜多都無所住。	我 修 甚 深 般 若 波羅蜜多 都 無 所 住  
ZH_T07_0220f_574:0965a08_9	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0965a09_5	無所住者云何能修甚深般若波羅蜜多？	無 所 住 者 云 何 能 修 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965a09_10	」「世尊！	  世 尊  
ZH_T07_0220f_574:0965a10_4	我由無所住故能修般若波羅蜜多。	我 由 無 所 住 故 能 修 般 若 波羅蜜多  
ZH_T07_0220f_574:0965a10_11	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0965a11_8	汝修般若波羅蜜多，於善、於惡何增何減？	汝 修 般 若 波羅蜜多  於 善  於 惡 何 增 何 減  
ZH_T07_0220f_574:0965a11_13	」「世尊！	  世 尊  
ZH_T07_0220f_574:0965a12_12	我修甚深般若波羅蜜多，於善、於惡無增無減。	我 修 甚 深 般 若 波羅蜜多  於 善  於 惡 無增無減  
ZH_T07_0220f_574:0965a12_15	世尊！	世 尊  
ZH_T07_0220f_574:0965a13_14	我修甚深般若波羅蜜多，於一切法亦無增減。	我 修 甚 深 般 若 波羅蜜多  於一切法 亦 無 增 減  
ZH_T07_0220f_574:0965a13_17	世尊！	世 尊  
ZH_T07_0220f_574:0965a14_17	般若波羅蜜多出現世間，不為增減一切法故。	般 若 波羅蜜多 出 現 世 間  不 為 增 減 一 切 法 故  
ZH_T07_0220f_574:0965a15_1	世尊！	世 尊  
ZH_T07_0220f_574:0965a16_11	修學甚深般若波羅蜜多，不為棄捨異生等法，不為攝受一切佛法。	修 學 甚 深 般 若 波羅蜜多  不 為 棄 捨 異 生 等 法  不 為 攝 受 一切佛法  
ZH_T07_0220f_574:0965a16_16	所以者何？	所以者何  
ZH_T07_0220f_574:0965a17_14	甚深般若波羅蜜多不為捨法、得法故起。	甚 深 般 若 波羅蜜多 不 為 捨 法  得 法 故 起  
ZH_T07_0220f_574:0965a17_17	世尊！	世 尊  
ZH_T07_0220f_574:0965a19_7	修學甚深般若波羅蜜多，不為厭離生死過失，不為欣樂涅槃功德。	修 學 甚 深 般 若 波羅蜜多  不 為 厭 離 生 死 過 失  不 為 欣 樂 涅 槃 功 德  
ZH_T07_0220f_574:0965a19_12	所以者何？	所以者何  
ZH_T07_0220f_574:0965a20_7	修此法者不見生死，況有厭離！	修 此 法 者 不 見 生 死  況 有 厭 離  
ZH_T07_0220f_574:0965a20_17	不見涅槃，況有欣樂！	不 見 涅 槃  況 有 欣 樂  
ZH_T07_0220f_574:0965a20_20	世尊！	世 尊  
ZH_T07_0220f_574:0965a22_9	修學甚深般若波羅蜜多，不見諸法有劣有勝、有失有得、可捨可取。	修 學 甚 深 般 若 波羅蜜多  不 見 諸 法 有 劣 有 勝  有 失 有 得  可 捨 可 取  
ZH_T07_0220f_574:0965a22_12	世尊！	世 尊  
ZH_T07_0220f_574:0965a23_12	修學甚深般若波羅蜜多，不得諸法可增可減。	修 學 甚 深 般 若 波羅蜜多  不 得 諸 法 可 增 可 減  
ZH_T07_0220f_574:0965a23_17	所以者何？	所以者何  
ZH_T07_0220f_574:0965a24_6	非真法界有增有減。	非 真 法 界 有 增 有 減  
ZH_T07_0220f_574:0965a24_9	世尊！	世 尊  
ZH_T07_0220f_574:0965a25_9	若能如是修者，名真修學甚深般若波羅蜜多。	若 能 如 是 修 者  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965a25_16	「復次，世尊！	 復 次  世 尊  
ZH_T07_0220f_574:0965a27_7	若修般若波羅蜜多，於一切法不增不減，名真修學甚深般若波羅蜜多；	若 修 般 若 波羅蜜多  於一切法 不增不減  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965a29_1	若修般若波羅蜜多，於一切法不生不滅，名真修學甚深般若波羅蜜多；	若 修 般 若 波羅蜜多  於一切法 不生不滅  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b01_12	若修般若波羅蜜多，於一切法不見增減，名真修學甚深般若波羅蜜多；	若 修 般 若 波羅蜜多  於一切法 不 見 增 減  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b03_6	若修般若波羅蜜多，於一切法不見生滅，名真修學甚深般若波羅蜜多。	若 修 般 若 波羅蜜多  於一切法 不 見 生 滅  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b03_13	「復次，世尊！	 復 次  世 尊  
ZH_T07_0220f_574:0965b06_7	若修般若波羅蜜多，於一切法無所思惟，若多若少俱無希願，能、所希願及希願者皆不取著，名真修學甚深般若波羅蜜多；	若 修 般 若 波羅蜜多  於一切法 無 所 思 惟  若 多 若 少 俱 無 希 願  能  所 希 願 及 希 願 者 皆 不 取 著  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b08_5	若修般若波羅蜜多，不見諸法有好有醜、有高有下，名真修學甚深般若波羅蜜多。	若 修 般 若 波羅蜜多  不 見 諸 法 有 好 有 醜  有高有下  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b08_12	「復次，世尊！	 復 次  世 尊  
ZH_T07_0220f_574:0965b10_12	善男子等若修般若波羅蜜多，於諸法中不得勝劣，謂都不見此勝此劣，是真般若波羅蜜多。	善 男 子 等 若 修 般 若 波羅蜜多  於 諸 法 中 不 得 勝 劣  謂 都 不 見 此 勝 此 劣  是 真 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b10_17	所以者何？	所以者何  
ZH_T07_0220f_574:0965b11_12	真如、法界、法性、實際無勝無劣。	真 如  法 界  法 性  實 際 無 勝 無 劣  
ZH_T07_0220f_574:0965b12_9	若如是修，名真修學甚深般若波羅蜜多。	若 如 是 修  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b13_8	」佛告曼殊室利童子：	 佛 告 曼 殊 室 利 童 子  
ZH_T07_0220f_574:0965b13_18	「諸佛妙法豈亦不勝？	 諸 佛 妙 法 豈 亦 不 勝  
ZH_T07_0220f_574:0965b14_5	」曼殊室利白言：	 曼 殊 室 利 白 言  
ZH_T07_0220f_574:0965b14_9	「世尊！	 世 尊  
ZH_T07_0220f_574:0965b15_15	諸佛妙法不可取故，亦不可言是勝是劣，如來豈不證諸法空？	諸 佛 妙 法 不 可 取 故  亦 不 可 言 是 勝 是 劣  如 來 豈 不 證 諸 法 空  
ZH_T07_0220f_574:0965b16_1	」世尊答言：	 世 尊 答 言  
ZH_T07_0220f_574:0965b16_5	「如是！	 如 是  
ZH_T07_0220f_574:0965b16_8	童子！	童 子  
ZH_T07_0220f_574:0965b16_18	」曼殊室利復白佛言：	 曼 殊 室 利 復 白 佛 言  
ZH_T07_0220f_574:0965b17_4	「諸法空中何有勝劣？	 諸 法 空 中 何 有 勝 劣  
ZH_T07_0220f_574:0965b17_10	」世尊讚曰：	 世 尊 讚 曰  
ZH_T07_0220f_574:0965b17_14	「善哉！	 善 哉  
ZH_T07_0220f_574:0965b17_17	善哉！	善 哉  
ZH_T07_0220f_574:0965b17_20	如是！	如 是  
ZH_T07_0220f_574:0965b17_23	如是！	如 是  
ZH_T07_0220f_574:0965b18_4	如汝所說。	如 汝 所 說  
ZH_T07_0220f_574:0965b18_9	曼殊室利！	曼 殊 室 利  
ZH_T07_0220f_574:0965b18_18	佛法豈不是無上耶？	佛 法 豈 不 是 無 上 耶  
ZH_T07_0220f_574:0965b19_1	」「如是！	  如 是  
ZH_T07_0220f_574:0965b19_4	世尊！	世 尊  
ZH_T07_0220f_574:0965b20_11	一切佛法雖實無上，而於其中無法可得，故不可說佛法無上。	一切佛法 雖 實 無 上  而 於 其 中 無 法 可 得  故 不 可 說 佛 法 無 上  
ZH_T07_0220f_574:0965b20_18	「復次，世尊！	 復 次  世 尊  
ZH_T07_0220f_574:0965b22_10	善男子等若修般若波羅蜜多，不欲住持一切佛法，不欲調伏異生法等；	善 男 子 等 若 修 般 若 波羅蜜多  不 欲 住 持一切佛法  不 欲 調 伏 異 生 法 等  
ZH_T07_0220f_574:0965b24_7	甚深般若波羅蜜多，於諸佛法、異生法等，不欲增長及調伏故，於一切法無分別故。	甚 深 般 若 波羅蜜多  於 諸 佛 法  異 生 法 等  不 欲 增 長 及 調 伏 故  於一切法 無 分 別 故  
ZH_T07_0220f_574:0965b25_6	若如是修，名真修學甚深般若波羅蜜多。	若 如 是 修  名 真 修 學 甚 深 般 若 波羅蜜多  
ZH_T07_0220f_574:0965b25_13	「復次，世尊！	 復 次  世 尊  
ZH_T07_0220f_574:0965b26_19	善男子等若修般若波羅蜜多，不見諸法有可思惟、可分別者。	善 男 子 等 若 修 般 若 波羅蜜多  不 見 諸 法 有 可 思 惟  可 分 別 者  
ZH_T07_0220f_574:0965b27_5	」「曼殊室利！	  曼 殊 室 利  
ZH_T07_0220f_574:0965b27_14	汝於佛法豈不思惟？	汝 於 佛 法 豈 不 思 惟  
