segmentnr	original	stemmed
ZH_T07_0220h_577:0980a02_0	大般若波羅蜜多經卷第五百七	大 般 若 波羅蜜多 經 卷 第 五 百 七 
ZH_T07_0220h_577:0980a03_0	十七	十 七 
ZH_T07_0220h_577:0980a05_0	三藏法師玄奘奉　詔譯	三藏法師 玄 奘 奉  詔 譯 
ZH_T07_0220h_577:0980a07_4	第九能斷金剛分如是我聞：	第 九 能 斷 金 剛 分 如是我聞  
ZH_T07_0220h_577:0980a08_17	一時，薄伽梵在室羅筏住誓多林給孤獨園，與大苾芻眾千二百五十人俱。	一 時  薄 伽 梵 在 室 羅 筏 住 誓 多 林 給 孤 獨 園  與 大 苾 芻 眾 千二百五十 人 俱  
ZH_T07_0220h_577:0980a10_6	爾時，世尊於日初分，整理裳服執持衣鉢，入室羅筏大城乞食。	爾 時  世 尊 於 日 初 分  整 理 裳 服 執 持 衣 鉢  入 室 羅 筏 大 城 乞 食  
ZH_T07_0220h_577:0980a12_19	時，薄伽梵於其城中行乞食已出還本處，飯食訖，收衣鉢洗足已，於食後時，敷如常座結跏趺坐，端身正願住對面念。	時  薄 伽 梵 於 其 城 中 行 乞 食 已 出 還 本 處  飯 食 訖  收 衣 鉢 洗 足 已  於 食 後 時  敷 如 常 座 結跏趺坐  端 身 正 願 住 對 面 念  
ZH_T07_0220h_577:0980a15_2	時，諸苾芻來詣佛所，到已頂禮世尊雙足，右遶三匝退坐一面，具壽善現亦於如是眾會中坐。	時  諸 苾 芻 來 詣 佛 所  到 已 頂 禮 世 尊 雙 足  右 遶 三 匝 退 坐 一 面  具 壽 善 現 亦 於 如 是 眾 會 中 坐  
ZH_T07_0220h_577:0980a17_12	爾時，眾中具壽善現從座而起，偏袒一肩，右膝著地，合掌恭敬而白佛言：	爾 時  眾 中 具 壽 善 現 從座而起  偏 袒 一 肩  右膝著地  合掌恭敬 而 白 佛 言  
ZH_T07_0220h_577:0980a17_16	「希有！	 希 有  
ZH_T07_0220h_577:0980a17_19	世尊！	世 尊  
