segmentnr	original	stemmed
ZH_T46_1912_05f:0318a12_0	唐毘陵沙門湛然述	唐 毘 陵 沙 門 湛 然 述 
ZH_T46_1912_05f:0318a13_0	次明破假觀中文自為兩。謂略廣二破。	次 明 破 假 觀 中 文 自 為 兩  謂 略 廣 二 破  
ZH_T46_1912_05f:0318a14_0	初略破者。略秖是總。先序略境次明略觀。	初 略 破 者  略 秖 是 總  先 序 略 境 次 明 略 觀  
ZH_T46_1912_05f:0318a15_8	境四觀二合為六略。	境 四 觀 二 合 為 六 略  
ZH_T46_1912_05f:0318a15_13	言境四者。	言 境 四 者  
ZH_T46_1912_05f:0318a15_18	一者見略。	一 者 見 略  
ZH_T46_1912_05f:0318a16_6	不列有等四句。	不 列 有 等 四 句  
ZH_T46_1912_05f:0318a16_13	但云必屬一見。	但 云 必 屬 一 見  
ZH_T46_1912_05f:0318a16_18	二者假略。	二 者 假 略  
ZH_T46_1912_05f:0318a17_6	不明三假之相。	不 明 三 假 之 相  
ZH_T46_1912_05f:0318a17_13	但云虛妄無實。	但 云 虛 妄 無 實  
ZH_T46_1912_05f:0318a18_2	三者所生惑略。	三 者 所 生 惑 略  
ZH_T46_1912_05f:0318a18_9	不列八十八等。	不 列 八 十 八 等  
ZH_T46_1912_05f:0318a18_16	但云浩浩如前。	但 云 浩 浩 如 前  
ZH_T46_1912_05f:0318a19_4	四者所防過略。	四 者 所 防 過 略  
ZH_T46_1912_05f:0318a19_11	不出生過之相。	不 出 生 過 之 相  
ZH_T46_1912_05f:0318a19_18	但云具如後說。	但 云 具 如 後 說  
ZH_T46_1912_05f:0318a20_4	言觀二者。	言 觀 二 者  
ZH_T46_1912_05f:0318a20_9	一止觀略。	一 止 觀 略  
ZH_T46_1912_05f:0318a20_18	不云推至性相二空。	不 云 推 至 性 相 二 空  
ZH_T46_1912_05f:0318a21_6	但云雙寂不二。	但 云 雙 寂 不 二  
ZH_T46_1912_05f:0318a21_11	二者結略。	二 者 結 略  
ZH_T46_1912_05f:0318a21_18	不云眼智無生。	不 云 眼 智 無 生  
ZH_T46_1912_05f:0318a22_6	但云從假入空。	但 云 從 假 入 空  
ZH_T46_1912_05f:0318a22_11	此六略意。	此 六 略 意  
ZH_T46_1912_05f:0318a23_2	並通此下四見首也。	並 通 此 下 四 見 首 也  
ZH_T46_1912_05f:0318a23_11	後廣此六故名為廣。	後 廣 此 六 故 名 為 廣  
ZH_T46_1912_05f:0318a23_16	言如前者。	言 如 前 者  
ZH_T46_1912_05f:0318a24_7	具如五十校計所明。	具 如 五 十 校 計 所 明  
ZH_T46_1912_05f:0318a24_12	言如後者。	言 如 後 者  
ZH_T46_1912_05f:0318a25_3	如此卷末得失中說。	如 此 卷 末 得 失 中 說  
ZH_T46_1912_05f:0318a25_8	前之四略。	前 之 四 略  
ZH_T46_1912_05f:0318a25_17	次第在文可以意得。	次 第 在 文 可 以 意 得  
ZH_T46_1912_05f:0318a26_6	應當下明止觀略。	應 當 下 明 止 觀 略  
ZH_T46_1912_05f:0318a26_11	初文是止。	初 文 是 止  
ZH_T46_1912_05f:0318a26_18	從又觀去是觀。	從 又 觀 去 是 觀  
ZH_T46_1912_05f:0318a27_8	此中亦是止觀總用。	此 中 亦 是 止 觀 總 用  
ZH_T46_1912_05f:0318a27_15	亦是別而不別。	亦 是 別 而 不 別  
ZH_T46_1912_05f:0318a28_11	乃至為成下文六十四番不別而別。	乃 至 為 成 下 文 六 十 四 番 不 別 而 別  
ZH_T46_1912_05f:0318a29_5	故知直用四性以推三假。	故 知 直 用 四 性 以 推 三 假  
ZH_T46_1912_05f:0318a29_10	具含止觀。	具 含 止 觀  
ZH_T46_1912_05f:0318a29_18	初文云颺依焰者。	初 文 云 颺 依 焰 者  
ZH_T46_1912_05f:0318b01_10	颺字弋障弋彰二反並通。	颺 字 弋 障 弋 彰 二 反 並 通  
ZH_T46_1912_05f:0318b02_3	風飄曰颺即焰之動轉也。	風 飄 曰 颺 即 焰 之 動 轉 也  
ZH_T46_1912_05f:0318b02_12	必依於焰方有動故。	必 依 於 焰 方 有 動 故  
ZH_T46_1912_05f:0318b03_3	焰必依空實處無故。	焰 必 依 空 實 處 無 故  
ZH_T46_1912_05f:0318b03_12	焰颺俱是動轉之法。	焰 颺 俱 是 動 轉 之 法  
ZH_T46_1912_05f:0318b04_3	如見及無明俱是動法。	如 見 及 無 明 俱 是 動 法  
ZH_T46_1912_05f:0318b04_8	如動依焰。	如 動 依 焰  
ZH_T46_1912_05f:0318b04_13	焰依於空。	焰 依 於 空  
ZH_T46_1912_05f:0318b04_18	空無所依。	空 無 所 依  
ZH_T46_1912_05f:0318b05_5	如見依無明。	如 見 依 無 明  
ZH_T46_1912_05f:0318b05_11	無明依法性。	無 明 依 法 性  
ZH_T46_1912_05f:0318b05_17	法性無所依。	法 性 無 所 依  
ZH_T46_1912_05f:0318b06_1	何者。	何 者  
ZH_T46_1912_05f:0318b06_10	法性無體全是無明。	法 性 無 體 全 是 無 明  
ZH_T46_1912_05f:0318b06_17	故云空無所依。	故 云 空 無 所 依  
ZH_T46_1912_05f:0318b07_3	眠喻同焰。	眠 喻 同 焰  
ZH_T46_1912_05f:0318b07_6	何者。	何 者  
ZH_T46_1912_05f:0318b07_12	眠心如法性。	眠 心 如 法 性  
ZH_T46_1912_05f:0318b07_18	昏眠如無明。	昏 眠 如 無 明  
ZH_T46_1912_05f:0318b08_4	夢事如諸見。	夢 事 如 諸 見  
ZH_T46_1912_05f:0318b08_13	無明為本諸見為末。	無 明 為 本 諸 見 為 末  
ZH_T46_1912_05f:0318b09_4	無明無依諸見無住。	無 明 無 依 諸 見 無 住  
ZH_T46_1912_05f:0318b09_9	故云雙寂。	故 云 雙 寂  
ZH_T46_1912_05f:0318b10_4	次釋觀中云無明既即是法性。	次 釋 觀 中 云 無 明 既 即 是 法 性  
ZH_T46_1912_05f:0318b10_11	不二秖是不異。	不 二 秖 是 不 異  
ZH_T46_1912_05f:0318b11_3	亦可不二從性不異從相。	亦 可 不 二 從 性 不 異 從 相  
ZH_T46_1912_05f:0318b11_15	法性本來下釋上不二不異。	法 性 本 來 下 釋 上 不 二 不 異  
ZH_T46_1912_05f:0318b12_5	無明既其即是法性。	無 明 既 其 即 是 法 性  
