segmentnr	original	analyzed	translated
['T27n1545_056:0288a02_0']	阿毘達磨大毘婆沙論卷第五十	阿毘達磨大毘婆沙論卷第五十	Abhidharma-mahāvibhāṣā-śāstra, fascicle 50
['T27n1545_056:0288a03_0']	六	六	six
['T27n1545_056:0288a05_0']	五百大阿羅漢等造	五百大阿羅漢等造	composed by 500 great arhats and others
['T27n1545_056:0288a08_3']	三藏法師玄奘奉　詔譯2 一行納息1結蘊第二中一行納息第二之一有九結。	三藏法師玄奘奉　詔譯2 一行納息1結蘊第二中一行納息第二之一有九結。	tripiṭaka master Xuanzang respectfully received
['T27n1545_056:0288a08_11']	謂愛結乃至慳結。	謂愛結乃至慳結。	namely the fetters of craving up to the fetters of stinginess.
['T27n1545_056:0288a09_8']	若於此事有愛結繫亦有恚結繫耶。	若於此事有愛結繫亦有恚結繫耶。	If there is the fetter of craving on this matter, is there also the fetter of anger?
['T27n1545_056:0288a09_17']	如是等章及解章義。	如是等章及解章義。	Such chapters and the meaning of the chapters
['T27n1545_056:0288a10_4']	既領會已。	既領會已。	having already been understood,
['T27n1545_056:0288a10_9']	次應廣釋。	次應廣釋。	one should next extensively explain.
['T27n1545_056:0288a10_14']	此中事者。	此中事者。	Herein, the matter
['T27n1545_056:0288a10_19']	事有五種。	事有五種。	there are five kinds of matters.
['T27n1545_056:0288a11_4']	一自體事。	一自體事。	First, the matter of the intrinsic nature.
['T27n1545_056:0288a11_9']	二所緣事。	二所緣事。	Second, the matter of the object.
['T27n1545_056:0288a11_13']	三繫事。	三繫事。	Third, the matter of bondage.
['T27n1545_056:0288a11_17']	四因事。	四因事。	Fourth, the matter of cause.
['T27n1545_056:0288a12_1']	五攝受事。	五攝受事。	Fifth, the matter of inclusion.
['T27n1545_056:0288a12_6']	自體事者。	自體事者。	As for the matter of the intrinsic nature,
['T27n1545_056:0288a12_11']	如見蘊說。	如見蘊說。	it is as explained in the aggregate of views.
['T27n1545_056:0288a13_3']	若事能通達彼事能遍知耶。	若事能通達彼事能遍知耶。	If a matter can penetrate it, can that matter be completely known?
['T27n1545_056:0288a15_5']	設事能遍知彼事能通達耶彼於諸忍諸智自體以事聲說即彼復說若事已得彼事成就耶。	設事能遍知彼事能通達耶彼於諸忍諸智自體以事聲說即彼復說若事已得彼事成就耶。	If a matter can be completely known, can that matter be penetrated? He speaks of the matter of the intrinsic nature of the various forbearances and knowledges with the word matter. He further says, if a matter is already attained, is that matter accomplished?
['T27n1545_056:0288a15_15']	設事成就彼事已得耶。	設事成就彼事已得耶。	If a matter is accomplished, is that matter already attained?
['T27n1545_056:0288a16_1']	此中有說。	此中有說。	Regarding this, some say:
['T27n1545_056:0288a16_11']	一切法自體以事聲說。	一切法自體以事聲說。	The essence of all dharmas is referred to by the word thing.
['T27n1545_056:0288a16_16']	有作是說。	有作是說。	Some say:
['T27n1545_056:0288a17_7']	若法有得者以事聲說。	若法有得者以事聲說。	If a dharma has attainment, it is referred to by the word thing.
['T27n1545_056:0288a17_12']	所緣事者。	所緣事者。	The object-referent thing refers to:
['T27n1545_056:0288a17_18']	如品類足說。	如品類足說。	As the Prakaraṇa states:
['T27n1545_056:0288a18_11']	一切法皆是智所知隨其事。	一切法皆是智所知隨其事。	All dharmas are to be known by cognition according to their object-referents.
['T27n1545_056:0288a18_17']	云何隨其事。	云何隨其事。	What is meant by according to their object-referents?
