segmentnr	original	analyzed	folio	translated
['ZH_T01_0026_011:0493a03_0']	中阿含經卷第十一	中阿含經卷第十一	011	Middle Length Āgama Sutras, Scroll 11
['ZH_T01_0026_011:0493a05_0']	東晉罽賓三藏瞿曇僧伽提婆譯	東晉罽賓三藏瞿曇僧伽提婆譯	011	Translated by Gautama Saṃghadeva of Kaśmīra in the Eastern Jin
['ZH_T01_0026_011:0493a06_0']	6 王相應品中阿含王相應品第六有七經王相應品本有十四經	6 王相應品中阿含王相應品第六有七經王相應品本有十四經	011	Chapter 6: Connected with Kings, in the Middle Length Āgamas, has seven sutras. The original version has fourteen sutras.
['ZH_T01_0026_011:0493a08_0']	七寶、相、四洲　　牛糞、摩竭王	七寶、相、四洲　　牛糞、摩竭王	011	Seven Treasures, Marks, Four Continents, Cow Dung, King of Magadha🔽Vaiśālī, Licchavi,
['ZH_T01_0026_011:0493a09_0']	鞞婆麗陵耆　　天使最在後	鞞婆麗陵耆　　天使最在後	011	The Final Messenger
['ZH_T01_0026_011:0493a11_4']	58 七寶經（五八）中阿含王相應品七寶經第一我聞如是：	58 七寶經（五八）中阿含王相應品七寶經第一我聞如是：	011	Saptaratna-sūtra (Skt. saptaratna), (58) Chapter on Kings in the Middle Length Āgamas, Saptaratna-sūtra, Part 1. I have heard thus:
['ZH_T01_0026_011:0493a12_2']	一時，佛遊舍衛國，在勝林給孤獨園。	一時，佛遊舍衛國，在勝林給孤獨園。	011	Once, the Buddha was dwelling in the country of Śrāvastī, in the Jeta Grove, Anāthapiṇḍada-ārāma.
['ZH_T01_0026_011:0493a12_12']	爾時，世尊告諸比丘：	爾時，世尊告諸比丘：	011	At that time, the World-Honored One told the bhikṣus:
['ZH_T01_0026_011:0493a13_11']	「若轉輪王出於世時，當知便有七寶出世。	「若轉輪王出於世時，當知便有七寶出世。	011	When a wheel-turning king appears in the world, know that the seven treasures will appear in the world.
['ZH_T01_0026_011:0493a13_16']	云何為七？	云何為七？	011	What are the seven?
['ZH_T01_0026_011:0493a15_3']	輪寶、象寶、馬寶、珠寶、女寶、居士寶、主兵臣寶，是謂為七。	輪寶、象寶、馬寶、珠寶、女寶、居士寶、主兵臣寶，是謂為七。	011	The treasure of the wheel, the treasure of the elephant, the treasure of the horse, the treasure of the jewel, the treasure of the woman, the treasure of the householder, and the treasure of the counselor. These are called the seven.
['ZH_T01_0026_011:0493a16_3']	若轉輪王出於世時，當知有此七寶出世。	若轉輪王出於世時，當知有此七寶出世。	011	When a wheel-turning king appears in the world, know that these seven treasures also appear in the world.
['ZH_T01_0026_011:0493a17_14']	如是如來、無所著、等正覺出於世時，當知亦有七覺支寶出於世間。	如是如來、無所著、等正覺出於世時，當知亦有七覺支寶出於世間。	011	In the same way, when a Tathāgata, free from attachment and fully awakened, appears in the world, know that the seven factors of awakening also appear in the world.
['ZH_T01_0026_011:0493a18_1']	云何為七？	云何為七？	011	What are the seven?
['ZH_T01_0026_011:0493a19_17']	念覺支寶、擇法覺支、精進覺支、喜覺支、息覺支、定覺支、捨覺支寶，是謂為七。	念覺支寶、擇法覺支、精進覺支、喜覺支、息覺支、定覺支、捨覺支寶，是謂為七。	011	The treasure of the factor of awakening of mindfulness, the treasure of the factor of awakening of investigating phenomena, the treasure of the factor of awakening of energy, the treasure of the factor of awakening of joy, the treasure of the factor of awakening of tranquility, the treasure of the factor of awakening of concentration, and the treasure of the factor of awakening of equanimity—these are the seven.
['ZH_T01_0026_011:0493a21_6']	如來、無所著、等正覺出於世時，當知有此七覺支寶出於世間。	如來、無所著、等正覺出於世時，當知有此七覺支寶出於世間。	011	When a Tathāgata, free from attachment and fully awakened, appears in the world, know that these seven factors of awakening appear in the world.
['ZH_T01_0026_011:0493a21_12']	」佛說如是。	」佛說如是。	011	The Buddha spoke thus.
['ZH_T01_0026_011:0493a22_7']	彼諸比丘聞佛所說，歡喜奉行。	彼諸比丘聞佛所說，歡喜奉行。	011	Those bhikṣus, having heard the Buddha's words, rejoiced and practiced them.
['ZH_T01_0026_011:0493a26_4']	七寶經第一竟一百八十二字59 三十二相經（五九）中阿含王相應品三十二相經第二初一日誦我聞如是：	七寶經第一竟一百八十二字59 三十二相經（五九）中阿含王相應品三十二相經第二初一日誦我聞如是：	011	Sutra of the Thirty-two Marks (59) Chapter 2, Sutra of the Thirty-two Marks, First Day's Recitation, Middle Length Āgama Sutras, Connected Discourses with Kings I have heard thus:
['ZH_T01_0026_011:0493a27_2']	一時，佛遊舍衛國，在勝林給孤獨園。	一時，佛遊舍衛國，在勝林給孤獨園。	011	Once, the Buddha was dwelling in the country of Shravasti, in the Jeta Grove, Anathapindika's Park.
['ZH_T01_0026_011:0493a28_3']	爾時，諸比丘於中食後集坐講堂，共論此事：	爾時，諸比丘於中食後集坐講堂，共論此事：	011	At that time, after the midday meal, the bhikṣus gathered in the lecture hall and discussed this matter together:
['ZH_T01_0026_011:0493a28_7', 'ZH_T01_0026_011:0493a28_10']	「諸賢！🔽甚奇！	「諸賢！ 甚奇！	011	Virtuous ones!🔽How amazing!
['ZH_T01_0026_011:0493a28_13']	甚特！	甚特！	011	How special!
['ZH_T01_0026_011:0493a29_11']	大人成就三十二相，必有二處真諦不虛。	大人成就三十二相，必有二處真諦不虛。	011	If a great person possesses the thirty-two marks, there are necessarily two true and non-false destinies.
['ZH_T01_0026_011:0493b02_3']	若在家者，必為轉輪王，聰明智慧，有四種軍，整御天下，由己自在；	若在家者，必為轉輪王，聰明智慧，有四種軍，整御天下，由己自在；	011	If they stay at home, they will certainly become a wheel-turning king, wise and intelligent, with a fourfold army, ruling the world, sovereign by their own power;
['ZH_T01_0026_011:0493b06_11']	如法法王成就七寶，彼七寶者，輪寶、象寶、馬寶、珠寶、女寶、居士寶、主兵臣寶，是為七，千子具足，顏貌端正，勇猛無畏，能伏他眾，彼必統領此一切地乃至大海，不以刀杖，以法教令，令得安樂。	如法法王成就七寶，彼七寶者，輪寶、象寶、馬寶、珠寶、女寶、居士寶、主兵臣寶，是為七，千子具足，顏貌端正，勇猛無畏，能伏他眾，彼必統領此一切地乃至大海，不以刀杖，以法教令，令得安樂。	011	like a Dharma king who has accomplished the seven treasures. Those seven treasures are the wheel treasure, the elephant treasure, the horse treasure, the jewel treasure, the woman treasure, the steward treasure, and the military commander treasure. These are the seven. With a full thousand sons, handsome, brave, and fearless, able to subdue other armies, they will certainly rule over this entire land up to the great ocean, without using swords or sticks, teaching and transforming by the Dharma, bringing them peace and happiness.
['ZH_T01_0026_011:0493b08_15']	若剃除鬚髮，著袈裟衣，至信、捨家、無家、學道者，必得如來、無所著、等正覺，名稱流布，周聞十方。	若剃除鬚髮，著袈裟衣，至信、捨家、無家、學道者，必得如來、無所著、等正覺，名稱流布，周聞十方。	011	If one shaves off their beard and hair, dons the monastic robes, leaves the household life out of true faith, and practices the path, they will surely attain to be a Tathāgata, free from attachment, a Perfectly Enlightened One, with a renowned and far-reaching reputation.
['ZH_T01_0026_011:0493b10_12']	」爾時，世尊在於燕坐，以淨天耳出過於人，聞諸比丘於中食後集坐講堂，共論此事：	」爾時，世尊在於燕坐，以淨天耳出過於人，聞諸比丘於中食後集坐講堂，共論此事：	011	At that time, the World-Honored One was sitting in meditation. With his pure divine hearing, which surpasses human hearing, he heard the monks gathering in the Dharma hall after their midday meal to discuss this matter:
['ZH_T01_0026_011:0493b10_16', 'ZH_T01_0026_011:0493b10_19']	「諸賢！🔽甚奇！	「諸賢！ 甚奇！	011	Virtuous ones!🔽How marvelous!
['ZH_T01_0026_011:0493b11_1']	甚特！	甚特！	011	How extraordinary!
['ZH_T01_0026_011:0493b11_19']	大人成就三十二相，必有二處真諦不虛。	大人成就三十二相，必有二處真諦不虛。	011	A great person endowed with thirty-two marks will surely have two true and unerring destinies.
['ZH_T01_0026_011:0493b13_11']	若在家者，必為轉輪王，聰明智慧，有四種軍，整御天下，由己自在；	若在家者，必為轉輪王，聰明智慧，有四種軍，整御天下，由己自在；	011	If they remain at home, they will surely become a wheel-turning king, wise and intelligent, with the four types of troops, ruling the world and enjoying sovereignty;
['ZH_T01_0026_011:0493b17_17']	如法法王成就七寶，彼七寶者，輪寶、象寶、馬寶、珠寶、女寶、居士寶、主兵臣寶，是為七，千子具足，顏貌端正，勇猛無畏，能伏他眾，彼必統領此一切地乃至大海，不以刀杖，以法教令，令得安樂。	如法法王成就七寶，彼七寶者，輪寶、象寶、馬寶、珠寶、女寶、居士寶、主兵臣寶，是為七，千子具足，顏貌端正，勇猛無畏，能伏他眾，彼必統領此一切地乃至大海，不以刀杖，以法教令，令得安樂。	011	Like the Dharma King who has accomplished the seven treasures. Those seven treasures are the wheel treasure, the elephant treasure, the horse treasure, the jewel treasure, the woman treasure, the steward treasure, and the military commander treasure. These are the seven. He is fully endowed with a thousand sons, with upright features, courageous and fearless, able to subdue other armies. He will certainly rule over all these lands up to the great ocean, without using sword or staff, but with the Dharma to teach and bring them peace and happiness.
