segmentnr	original	analyzed	translated
['T27n1545_122:0634b15_0']	阿毘達磨大毘婆沙論卷第一百	阿毘達磨大毘婆沙論卷第一百	Abhidharma-mahāvibhāṣā-śāstra, fascicle 100
['T27n1545_122:0634b16_0']	二十二	二十二	twenty-two
['T27n1545_122:0634b18_0']	五百大阿羅漢等造	五百大阿羅漢等造	composed by five hundred great arhats and others
['T27n1545_122:0634b21_5']	三藏法師玄奘奉　詔譯4 表無表納息1業蘊第四中表無表納息第四之一若成就身表。	三藏法師玄奘奉　詔譯4 表無表納息1業蘊第四中表無表納息第四之一若成就身表。	tripiṭaka master Xuanzang respectfully received
['T27n1545_122:0634b21_13']	彼成就此無表耶。	彼成就此無表耶。	Do they possess this avijñapti?
['T27n1545_122:0634b21_18']	如是等章。	如是等章。	Such chapters,
['T27n1545_122:0634b22_4']	及解章義。	及解章義。	and the explanation of the meaning of the chapters,
['T27n1545_122:0634b22_9']	既領會已。	既領會已。	having understood them,
['T27n1545_122:0634b22_14']	次應廣釋。	次應廣釋。	one should next extensively explain them.
['T27n1545_122:0634b23_2']	問何故作此論。	問何故作此論。	Question: Why compose this treatise?
['T27n1545_122:0634b23_12']	答為止他宗顯己義故。	答為止他宗顯己義故。	Answer: In order to stop other schools and manifest one's own meaning.
['T27n1545_122:0634b23_17']	謂譬喻者。	謂譬喻者。	Namely, the allegorists say
['T27n1545_122:0634b24_13']	說表無表業無實體性所以者何。	說表無表業無實體性所以者何。	that vijñapti and avijñapti do not have real substance. Why is this?
['T27n1545_122:0634b25_9']	若表業是實可得依之令無表有。	若表業是實可得依之令無表有。	If vijñapti is real, one can rely on it to make avijñapti exist.
['T27n1545_122:0634b25_15']	然表業無實。	然表業無實。	However, vijñapti does not exist.
['T27n1545_122:0634b26_6']	云何能發無表令有。	云何能發無表令有。	How can it give rise to avijñapti to make it exist?
['T27n1545_122:0634b27_4']	且表業尚無無表云何有而言有者。	且表業尚無無表云何有而言有者。	Moreover, vijñapti does not even exist, so how can avijñapti exist? To say it exists
['T27n1545_122:0634b27_14']	是對法諸師矯妄言耳。	是對法諸師矯妄言耳。	is merely a false statement by the Abhidharma masters.
['T27n1545_122:0634b28_7']	如人遇見美女為染近故。	如人遇見美女為染近故。	It is like a person who encounters a beautiful woman and, out of lust,
['T27n1545_122:0634b28_10']	語言。	語言。	says,
['T27n1545_122:0634b28_17']	汝可解去人服。	汝可解去人服。	You should take off your clothes.
['T27n1545_122:0634b29_5']	吾衣汝天衣。	吾衣汝天衣。	I will give you the heavenly robe.
['T27n1545_122:0634b29_14']	女聞歡喜如言為解。	女聞歡喜如言為解。	The woman, hearing this, was delighted and did as she was told.
['T27n1545_122:0634c01_5']	彼人即前種種摩觸。	彼人即前種種摩觸。	The man then came forward and touched her in various ways.
['T27n1545_122:0634c01_12']	恣心意已語言。	恣心意已語言。	Having indulged his desires, he said,
['T27n1545_122:0634c02_1']	天衣已為汝著。	天衣已為汝著。	The heavenly robe has already been put on you.
['T27n1545_122:0634c02_4']	女言。	女言。	The woman said,
['T27n1545_122:0634c02_11']	我今體露如是。	我今體露如是。	I am now exposed like this.
['T27n1545_122:0634c03_1']	寧死不露天衣何在。	寧死不露天衣何在。	I would rather die than be naked. Where is the heavenly robe?
['T27n1545_122:0634c03_6']	彼答之言。	彼答之言。	He replied,
['T27n1545_122:0634c04_1']	天服微妙唯我見之非汝能見。	天服微妙唯我見之非汝能見。	The heavenly garment is subtle and I alone can see it, not you.
['T27n1545_122:0634c04_10']	如是愚人本無天衣。	如是愚人本無天衣。	Thus, this foolish man originally had no heavenly robe,
['T27n1545_122:0634c04_15']	況為他著。	況為他著。	let alone putting it on others.
['T27n1545_122:0634c05_5']	諸對法者所說亦爾。	諸對法者所說亦爾。	The proponents of the Abhidharma also speak in this way.
['T27n1545_122:0634c05_10']	本無表業。	本無表業。	Originally there is no manifest karma.
['T27n1545_122:0634c06_1']	況有依表所起無表。	況有依表所起無表。	How much less could there be unmanifest karma arising based on manifest karma?
['T27n1545_122:0634c06_10']	故對法者妄興此論。	故對法者妄興此論。	Therefore, the proponents of the Abhidharma falsely bring up this discussion.
['T27n1545_122:0634c06_19']	又表無表若是色者。	又表無表若是色者。	Moreover, if manifest and unmanifest karma are form,
['T27n1545_122:0634c07_8']	青黃赤白為是何耶。	青黃赤白為是何耶。	are they blue, yellow, red, or white?
['T27n1545_122:0634c07_17']	復云何成善不善性。	復云何成善不善性。	How then do they become good or bad?
['T27n1545_122:0634c08_8']	若因搖動成善惡性。	若因搖動成善惡性。	If good or bad nature is formed due to shaking and moving,
['T27n1545_122:0634c08_17']	花劍等動何故不爾。	花劍等動何故不爾。	why is the movement of flowers and swords not so?
['T27n1545_122:0634c09_8']	為止如是譬喻者意。	為止如是譬喻者意。	In order to stop such a metaphorical idea,
['T27n1545_122:0634c09_13']	顯自所宗。	顯自所宗。	To show one's own standpoint.
['T27n1545_122:0634c10_4']	表無表業皆是實有。	表無表業皆是實有。	To show that both manifested and unmanifested karma are real.
['T27n1545_122:0634c10_9']	故作斯論。	故作斯論。	Therefore, this treatise is composed.
['T27n1545_122:0634c10_18']	若諸表業無實體者。	若諸表業無實體者。	If manifested karma has no real substance,
['T27n1545_122:0634c11_6']	則與契經相違。	則與契經相違。	then it would contradict the sutras.
['T27n1545_122:0634c11_11']	如契經言。	如契經言。	As a sutra says:
['T27n1545_122:0634c12_2']	愚夫希欲說名為愛。	愚夫希欲說名為愛。	The desire and longing of foolish people is called craving.
['T27n1545_122:0634c12_11']	愛所發表說名為業。	愛所發表說名為業。	The karma manifested by craving is called action.
['T27n1545_122:0634c12_16']	又契經言。	又契經言。	And another sutra says:
['T27n1545_122:0634c13_6']	在夜尋伺猶如起煙。	在夜尋伺猶如起煙。	At night, seeking and pondering is like emitting smoke.
