segmentnr	original	analyzed	translated
['ZH_T14_0514_001:0785c03_0']	佛說諫王經	佛說諫王經	The Buddha Speaks the Sūtra on Admonishing the King
['ZH_T14_0514_001:0785c05_0']	宋安陽侯沮渠京聲譯	宋安陽侯沮渠京聲譯	Translated by Song Dynasty An Yang Hou Ju Qu Jing Sheng
['ZH_T14_0514_001:0785c06_0']	如是我聞：一時，佛在舍衛國祇樹給孤獨園。	如是我聞：一時，佛在舍衛國祇樹給孤獨園。	Thus have I heard: Once, the Buddha was at Jetavana Anāthapiṇḍada-ārāma in the country of Śrāvastī.
['ZH_T14_0514_001:0785c08_13']	是時，國王名不離先尼，出行國界，道過佛所，身蒙塵土，解劍退蓋為佛作禮。	是時，國王名不離先尼，出行國界，道過佛所，身蒙塵土，解劍退蓋為佛作禮。	At that time, the king named Abhiya was traveling in the country and passed by the Buddha on the road. He was covered in dust and dirt. He untied his sword and lowered his parasol to pay homage to the Buddha.
['ZH_T14_0514_001:0785c08_17']	天尊曰：	天尊曰：	The Heavenly Honored One said:
['ZH_T14_0514_001:0785c09_1']	「就坐。	「就坐。	Take a seat.
['ZH_T14_0514_001:0785c09_6']	」王即坐。	」王即坐。	The king then sat down.
['ZH_T14_0514_001:0785c09_10']	佛問王：	佛問王：	The Buddha asked the king:
['ZH_T14_0514_001:0785c09_21']	「王所從來，身蒙塵土。	「王所從來，身蒙塵土。	Where have you come from, covered in dust and dirt?
['ZH_T14_0514_001:0785c10_6']	」王即退坐，稽首對：	」王即退坐，稽首對：	The king then stepped back, bowed his head, and replied:
['ZH_T14_0514_001:0785c10_9']	「諾！	「諾！	Yes!
['ZH_T14_0514_001:0785c10_18']	屬行國界有災異者。	屬行國界有災異者。	Recently, while traveling in the country, there have been disasters and strange occurrences.
['ZH_T14_0514_001:0785c11_1']	」佛告王曰：	」佛告王曰：	The Buddha told the king:
['ZH_T14_0514_001:0785c12_9']	「王治當以正法，無失節度，常以慈心養育人民，所以得霸治。	「王治當以正法，無失節度，常以慈心養育人民，所以得霸治。	The king should govern with proper Dharma, without losing proper measure, and always nourish the people with a compassionate mind, so as to attain hegemony and governance.
['ZH_T14_0514_001:0785c13_13']	為國王者，皆由宿命行善所致，統理民事不可偏枉。	為國王者，皆由宿命行善所致，統理民事不可偏枉。	The reason kings rule countries is all due to the good deeds they have done in past lives. In managing affairs for the people, they should not be biased or unjust.
['ZH_T14_0514_001:0785c16_3']	諸公卿群寮下逮凡民皆有怨辭，王治行不平海內皆忿，身死魂神常入太山地獄，後雖悔之無所復及。	諸公卿群寮下逮凡民皆有怨辭，王治行不平海內皆忿，身死魂神常入太山地獄，後雖悔之無所復及。	The officials, the masses, and even the common people all have complaints. If the king's governance is not fair, the entire country will be resentful. After death, their souls will always enter the hells of Mount Tai. Later, even if they regret it, there is nothing they can do about it.
