segmentnr	original	analyzed	folio	translated
['ZH_T47_1998A_011:0856a22_0']	大慧普覺禪師偈頌卷第十一	大慧普覺禪師偈頌卷第十一	011	The Verses and Gāthās of Chan Master Dahui Pujue, Volume 11
['ZH_T47_1998A_011:0856a24_0']	徑山能仁禪院住持嗣法	徑山能仁禪院住持嗣法	011	Abbot of Jingshan Nengren Chan Monastery, Dharma Successor
['ZH_T47_1998A_011:0856a25_0']	慧日禪師臣蘊聞　上進	慧日禪師臣蘊聞　上進	011	Chan Master Huiri, Subject Yunwen, Respectfully Presented
['ZH_T47_1998A_011:0856a27_5']	皇帝在建邸請陞堂偈皇帝在建邸請陞堂偈豁開頂門眼。	皇帝在建邸請陞堂偈皇帝在建邸請陞堂偈豁開頂門眼。	011	Gāthā for Ascending the Hall at the Emperor's Residence: Open the eye on the crown of the head,
['ZH_T47_1998A_011:0856a27_13']	　　照徹大千界。	　　照徹大千界。	011	Illuminating the great trichiliocosm.
['ZH_T47_1998A_011:0856a27_21']	　　既作法中王。	　　既作法中王。	011	Having become the king of the Dharma,
['ZH_T47_1998A_011:0856a28_3']	　　於法得自在。	　　於法得自在。	011	One attains mastery over the Dharma.
['ZH_T47_1998A_011:0856a29_3']	又作偈。	又作偈。	011	He also composed a verse:
['ZH_T47_1998A_011:0856b01_7']	大根大器大力量。	大根大器大力量。	011	Great faculties, great capacity, great strength,
['ZH_T47_1998A_011:0856b01_17']	　　荷擔大事不尋常。	　　荷擔大事不尋常。	011	Bearing great matters, not ordinary.
['ZH_T47_1998A_011:0856b02_4']	　　一毛頭上通消息。	　　一毛頭上通消息。	011	Communicating the news on the tip of a single hair,
['ZH_T47_1998A_011:0856b02_12']	遍界明明不覆藏。	遍界明明不覆藏。	011	Everywhere it is clear, not concealed.
['ZH_T47_1998A_011:0856b03_9']	御賜真讚師演成四偈。	御賜真讚師演成四偈。	011	The emperor's true praises, the master expounded into four verses:
['ZH_T47_1998A_011:0856b04_4']	生滅不滅。	生滅不滅。	011	Not extinguishing the extinguished,
['ZH_T47_1998A_011:0856b04_11']	　　如水中月。	　　如水中月。	011	Like the moon in water,
['ZH_T47_1998A_011:0856b04_18']	　　不可攬觸。	　　不可攬觸。	011	Unobtainable and intangible,
['ZH_T47_1998A_011:0856b04_25']	　　妙在甄別。	　　妙在甄別。	011	The marvelous lies in discernment.
['ZH_T47_1998A_011:0856b05_4']	常住不住。	常住不住。	011	Abiding without abiding,
['ZH_T47_1998A_011:0856b05_11']	　　是真實義。	　　是真實義。	011	This is the true meaning.
['ZH_T47_1998A_011:0856b05_18']	　　一幅丹青。	　　一幅丹青。	011	A scroll of ink and color,
['ZH_T47_1998A_011:0856b05_25']	　　輝天鑑地。	　　輝天鑑地。	011	Illuminating heaven and earth.
['ZH_T47_1998A_011:0856b06_4']	圓覺空明。	圓覺空明。	011	The emptiness and clarity of perfect enlightenment,
['ZH_T47_1998A_011:0856b06_11']	　　胡來漢現。	　　胡來漢現。	011	The Chinese appear when the barbarians come.
['ZH_T47_1998A_011:0856b06_18']	　　一點靈光。	　　一點靈光。	011	A single point of spiritual light.
['ZH_T47_1998A_011:0856b06_25']	　　萬化千變。	　　萬化千變。	011	Myriad transformations, a thousand changes.
['ZH_T47_1998A_011:0856b07_4']	隨物現處。	隨物現處。	011	Following the manifestation of things,
['ZH_T47_1998A_011:0856b07_11']	　　廓清寰宇。	　　廓清寰宇。	011	Clearing the universe.
['ZH_T47_1998A_011:0856b07_18']	　　不動神情。	　　不動神情。	011	Without moving the spirit,
['ZH_T47_1998A_011:0856b07_25']	　　氣吞項羽。	　　氣吞項羽。	011	Swallowing Xiang Yu.
['ZH_T47_1998A_011:0856b09_7']	泉州惠安縣迎藏經請小參偈泉州惠安縣迎藏經請小參偈稽首十力大導師。	泉州惠安縣迎藏經請小參偈泉州惠安縣迎藏經請小參偈稽首十力大導師。	011	Verses for the Request for Small-Scale Questioning of the Assembly for Welcoming the Scriptures in Hui'an County, Quanzhou Verses for the Request for Small-Scale Questioning of the Assembly for Welcoming the Scriptures in Hui'an County, Quanzhou I bow my head to the great guide with the ten powers.
['ZH_T47_1998A_011:0856b09_17']	　　三界獨尊無比況。	　　三界獨尊無比況。	011	The one who is unsurpassed in the three realms,
['ZH_T47_1998A_011:0856b10_4']	　　示現成佛轉法輪。	　　示現成佛轉法輪。	011	Manifesting to become a buddha and turning the wheel of the Dharma,
['ZH_T47_1998A_011:0856b10_12']	廣演無邊契經海。	廣演無邊契經海。	011	Extensively expounding the boundless ocean of sutras.
['ZH_T47_1998A_011:0856b11_1']	　　眾生心想念念殊。	　　眾生心想念念殊。	011	The thoughts in sentient beings' minds are different moment by moment,
['ZH_T47_1998A_011:0856b11_9']	所轉法輪亦差別。	所轉法輪亦差別。	011	The wheel of the Dharma that is turned is also differentiated.
['ZH_T47_1998A_011:0856b11_19']	　　法輪功德不可量。	　　法輪功德不可量。	011	The merits and virtues of the wheel of the Dharma are immeasurable,
['ZH_T47_1998A_011:0856b12_5']	　　盡思竭力無能測。	　　盡思竭力無能測。	011	Exhausting thought and effort, one is unable to fathom it.
['ZH_T47_1998A_011:0856b12_13']	有大經卷在一塵。	有大經卷在一塵。	011	There is a great sutra scroll in a single dust mote,
['ZH_T47_1998A_011:0856b13_2']	　　量等三千大千界。	　　量等三千大千界。	011	Its size equal to the trichiliocosm.
['ZH_T47_1998A_011:0856b13_10']	世有聰慧明達人。	世有聰慧明達人。	011	In the world, there are wise, intelligent, and insightful people,
['ZH_T47_1998A_011:0856b13_20']	　　具足天眼悉知見。	　　具足天眼悉知見。	011	Fully endowed with the heavenly eye, they know and see everything.
['ZH_T47_1998A_011:0856b14_6']	　　破塵出經作佛事。	　　破塵出經作佛事。	011	Destroying the dust mote and bringing out the sutra to perform buddha-works,
['ZH_T47_1998A_011:0856b14_14']	不作實與非實想。	不作實與非實想。	011	They do not give rise to thoughts of reality or unreality.
['ZH_T47_1998A_011:0856b15_3']	　　又以無邊法界空。	　　又以無邊法界空。	011	Moreover, with the empty Dharma realm that is boundless,
['ZH_T47_1998A_011:0856b15_11']	納在佛身一毛孔。	納在佛身一毛孔。	011	They are all contained within a single pore of the Buddha's body.
['ZH_T47_1998A_011:0856b15_21']	　　須彌鐵圍及大海。	　　須彌鐵圍及大海。	011	Mount Sumeru, the Iron Encircling Mountains, and the great ocean,
['ZH_T47_1998A_011:0856b16_7']	一一包容無迫隘。	一一包容無迫隘。	011	Each is contained without any crowding.
['ZH_T47_1998A_011:0856b16_17']	　　一毛既爾餘悉然。	　　一毛既爾餘悉然。	011	Just as with a single hair, so it is with all of them.
['ZH_T47_1998A_011:0856b17_4']	　　導師方便亦如是。	　　導師方便亦如是。	011	The skillful means of the guide are also like this.
['ZH_T47_1998A_011:0856b17_12']	念念普遍諸毛孔。	念念普遍諸毛孔。	011	Moment after moment, they pervade all the pores.
['ZH_T47_1998A_011:0856b18_1', 'ZH_T47_1998A_011:0856b18_9']	　　念念克證金剛慧。🔽念念成就佛菩提。	　　念念克證金剛慧。 念念成就佛菩提。	011	Moment after moment, they attain the vajra wisdom.🔽Moment after moment, they accomplish the Buddha's enlightenment.
['ZH_T47_1998A_011:0856b18_19']	　　念念滿足普賢願。	　　念念滿足普賢願。	011	Moment after moment, they fulfill Samantabhadra's vows.
['ZH_T47_1998A_011:0856b19_5']	　　而不生於戲論心。	　　而不生於戲論心。	011	Yet they do not give rise to a mind of frivolous speculation.
['ZH_T47_1998A_011:0856b19_13']	亦不住於深境界。	亦不住於深境界。	011	They also do not dwell in the profound realm.
['ZH_T47_1998A_011:0856b20_2']	　　如夢如幻如水月。	　　如夢如幻如水月。	011	Like a dream, an illusion, the moon in the water,
